rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
0,6,13,0,volumetric,36,2.835336,0.329004,1.318980,0.132549,0.000000,0.520785,0.736434,0.064483,1.779804,4.350771
1,4,-3,-1,volumetric,193,2.785246,0.287700,1.350097,0.199947,0.000000,0.362529,0.513761,0.065644,1.321218,4.223096
2,4,-1,-1,corner_like,310,2.601651,0.051998,0.912959,0.196657,0.000000,0.635071,0.392982,0.058838,1.556293,3.369950
3,6,2,2,corner_like,161,2.762012,0.246134,0.644436,0.354662,0.000000,0.022491,0.435669,0.392541,0.642931,3.297920
4,4,-2,-1,volumetric,168,2.395232,0.131032,1.083355,0.486083,0.000000,0.329043,0.477535,0.190089,1.102830,3.123537
5,6,3,2,corner_like,154,2.653074,0.183945,0.619811,0.351833,0.000000,0.027247,0.469982,0.392113,0.687098,3.104997
6,6,14,1,corner_like,26,2.641705,-0.082174,0.776490,0.270888,0.000000,0.257801,0.666667,0.065514,1.481365,3.065133
7,6,-2,1,corner_like,275,2.879421,0.398547,0.191258,0.593394,0.000000,0.090424,0.133429,0.411250,0.402177,2.875832
8,6,5,2,volumetric,58,2.172327,-0.256479,1.019555,0.179061,0.000000,0.113634,0.382525,0.179207,0.707518,2.756342
9,6,0,2,corner_like,147,2.253954,-0.006639,0.599817,0.221404,0.000000,0.084623,0.468237,0.353696,0.762635,2.625729
10,1,-1,-2,corner_like,1646,1.960966,-0.324566,1.019528,0.217410,0.000000,0.397907,0.679092,0.108368,1.550843,2.438518
11,6,-2,0,corner_like,160,2.104318,-0.215324,0.721290,0.198831,0.000000,0.452482,0.435880,0.170354,1.223652,2.411454
12,6,-3,2,corner_like,169,2.290833,0.011684,0.399856,0.320815,0.000000,0.015238,0.512172,0.426286,0.717294,2.381559
13,6,-3,1,corner_like,276,2.803596,0.081246,0.006749,0.628945,0.000000,0.036439,0.137007,0.451003,0.333233,2.262646
14,6,1,2,corner_like,206,2.683688,0.253136,-0.058263,0.687923,0.000000,0.136576,0.406616,0.484227,0.764988,2.190639
15,6,-1,2,corner_like,141,2.038183,-0.012670,0.451247,0.292924,0.000000,0.022045,0.451375,0.411371,0.659607,2.183836
16,6,-4,2,corner_like,123,2.416321,-0.096328,0.227355,0.410627,0.000000,0.030699,0.585260,0.464794,0.818563,2.136721
17,6,6,2,corner_like,60,2.121384,-0.056270,0.398543,0.344801,0.000000,0.349893,0.415771,0.150310,1.196370,2.118856
18,6,12,-1,corner_like,35,2.575320,-0.056109,0.092861,0.560220,0.000000,0.298088,0.822917,0.246731,1.574294,2.051852
19,6,-2,2,volumetric,201,2.289798,-0.178990,0.365272,0.446159,0.000000,0.024826,0.418526,0.417852,0.627226,2.029921
20,6,4,2,corner_like,149,2.083900,-0.048805,0.259120,0.372733,0.000000,0.033789,0.257901,0.397665,0.462639,1.921482
21,6,7,2,volumetric,35,1.004453,-0.146068,1.115927,0.231046,0.000000,0.843240,0.408163,0.020695,1.854020,1.743265
22,6,3,-1,corner_like,213,2.185997,0.023122,0.050975,0.584978,0.000000,0.345125,0.181878,0.302643,0.799318,1.675117
23,6,-3,0,corner_like,288,2.441887,-0.182950,-0.023707,0.632977,0.000000,0.119043,0.106960,0.415498,0.411697,1.602253
24,6,8,2,corner_like,38,1.648937,-0.752185,0.795565,0.191866,0.000000,0.685026,0.503876,0.055647,1.745716,1.500452
25,6,-2,3,corner_like,197,1.951188,-0.028907,0.074435,0.627716,0.000000,0.073114,0.190385,0.436010,0.441461,1.369001
26,6,4,-1,corner_like,204,2.253878,0.025324,-0.299895,0.840997,0.000000,0.281881,0.218245,0.392561,0.753941,1.138310
27,6,2,-1,corner_like,272,2.439848,-0.310652,-0.280448,0.826474,0.000000,0.151851,0.194110,0.462882,0.551853,1.022274
28,6,-2,-1,corner_like,68,0.446755,0.048354,0.745707,0.275631,0.000000,0.731711,1.000000,0.034425,2.487809,0.965185
29,1,-8,4,corner_like,121,0.628149,-0.365476,0.476004,0.234054,0.000000,0.192415,0.317394,0.281841,0.742227,0.504623
30,6,5,0,corner_like,115,0.739882,-0.218745,0.333424,0.439406,0.000000,0.063744,0.126158,0.379155,0.358161,0.415155
31,6,-7,2,corner_like,57,-0.202495,-0.187491,0.702017,0.265448,0.000000,0.063252,0.368932,0.183530,0.757882,0.046583
32,0,-7,-2,linear,54,1.918047,0.524386,-0.660049,1.797929,0.000000,0.006841,0.170295,0.332800,0.329893,-0.015545
33,6,-9,1,corner_like,50,0.300576,-0.411111,0.394234,0.308721,0.000000,0.478817,0.286430,0.191907,1.094809,-0.025022
34,2,7,-2,linear,44,1.891897,0.355112,-0.622416,1.798878,0.000000,0.017058,0.364341,0.204074,0.690470,-0.174285
35,-6,11,3,linear,33,2.090394,0.052787,-0.566816,1.760825,0.000000,0.047346,0.114155,0.150525,0.456155,-0.184460
36,-7,11,3,linear,24,1.890515,0.111778,-0.476430,1.787034,0.000000,0.025356,0.098039,0.141714,0.408741,-0.261171
37,6,-3,-1,corner_like,184,-0.027718,-0.227208,0.270237,0.569285,0.000000,0.403994,0.340637,0.256244,1.053426,-0.553974
38,-8,-8,8,planar,24,2.467679,-0.343175,-1.338246,1.381321,0.000000,0.045090,0.406926,0.211896,0.775157,-0.595063
39,3,15,3,linear,33,2.002997,-0.846830,-0.362533,1.527343,0.000000,0.325871,0.444444,0.118782,1.195482,-0.733709
40,-1,-11,8,planar,31,2.297167,0.286904,-1.398390,2.207994,0.000000,0.014214,0.066667,0.165420,0.359188,-1.022312
41,-8,-7,8,planar,34,2.552528,0.257942,-1.864226,2.123363,0.000000,0.017769,0.194155,0.444784,0.370892,-1.177120
42,6,-1,1,planar,153,1.625116,-0.173184,-1.208461,1.439198,0.000000,0.201427,0.596363,0.286503,1.061259,-1.195726
43,3,-5,4,corner_like,96,-1.381671,-0.079423,0.427853,0.293229,0.000000,0.077026,0.660360,0.383737,0.963715,-1.326470
44,-1,-9,-2,linear,36,0.817730,-0.055256,-0.296789,1.799980,0.000000,0.008114,0.370370,0.154871,0.685027,-1.334295
45,1,0,-2,planar,1343,2.107231,-0.464994,-1.333359,1.711814,0.000000,0.277845,0.690190,0.190992,1.400966,-1.402936
46,-2,-11,8,planar,36,2.186065,0.412483,-1.772851,2.230367,0.000000,0.023101,0.049383,0.208275,0.352174,-1.404671
47,-5,-8,8,planar,63,2.378941,-0.278297,-1.770326,1.825658,0.000000,0.138905,0.371069,0.247015,0.862365,-1.495339
48,2,6,-2,planar,64,1.947717,0.362791,-1.599173,2.248597,0.000000,0.000068,0.144291,0.381795,0.292145,-1.537262
49,-6,-8,8,planar,59,2.198510,0.112727,-1.848438,2.084665,0.000000,0.200943,0.715152,0.284915,1.324606,-1.621867
50,-7,-8,8,planar,47,2.347275,-0.197169,-1.811958,2.046622,0.000000,0.019139,0.473896,0.281901,0.813789,-1.708474
51,6,-6,2,corner_like,57,-2.873240,0.620860,0.669379,0.276234,0.000000,0.181907,0.413333,0.164704,0.966908,-1.859235
52,-4,-8,8,linear,47,0.529016,-0.167394,-0.475427,1.748685,0.000000,0.287383,0.143939,0.105001,0.812967,-1.862490
53,-3,-11,8,linear,23,0.815285,-0.546902,-0.424051,1.782380,0.000000,0.021781,0.040650,0.136136,0.340786,-1.938048
54,-6,-7,8,planar,67,1.980189,0.070323,-1.764636,2.239911,0.000000,0.097790,0.516667,0.243605,0.967016,-1.954034
55,6,5,-1,planar,110,1.287938,-0.535533,-1.324376,1.519736,0.000000,0.249239,0.228360,0.255705,0.721002,-2.091706
56,2,9,-2,linear,17,0.059580,0.064646,-0.425298,1.799996,0.000000,0.000000,0.000000,0.000000,0.400000,-2.101067
57,12,-1,-1,linear,24,-0.757915,0.631967,-0.286426,1.733605,0.000000,0.052907,1.000000,0.097481,1.571425,-2.145979
58,-9,-3,8,planar,56,2.161980,-0.073873,-1.958385,2.295770,0.000000,0.050501,0.333333,0.061809,0.834843,-2.166048
59,6,4,1,planar,212,2.534593,-0.004734,-2.078967,2.636007,0.000000,0.066146,0.144858,0.497572,0.381975,-2.185116
60,-5,11,3,planar,49,2.437178,-0.012929,-2.033048,2.673449,0.000000,0.050497,0.051282,0.236226,0.391248,-2.282247
61,-5,18,2,planar,15,1.783915,0.015526,-1.872059,2.239806,0.000000,0.022282,0.396396,0.280577,0.732784,-2.312425
62,-8,-6,8,planar,49,2.506183,0.193460,-2.164459,2.949004,0.000000,0.013819,0.191045,0.519390,0.362139,-2.413819
63,-5,-11,8,planar,25,1.629629,-0.300729,-1.611362,2.160159,0.000000,0.070362,0.098592,0.182207,0.470106,-2.442621
64,-12,4,8,planar,24,1.235079,-0.231091,-1.409452,2.065961,0.000000,0.060509,0.333333,0.044661,0.848354,-2.471424
65,-1,-8,-2,linear,43,-0.158711,-0.226765,-0.287279,1.799968,0.000000,0.005540,0.173837,0.241224,0.332033,-2.472723
66,0,-5,-2,planar,220,1.883999,0.545260,-2.120123,2.792309,0.000000,0.000072,0.207090,0.510748,0.361230,-2.483173
67,-9,-6,8,planar,35,2.067452,0.056663,-2.047650,2.591294,0.000000,0.034030,0.107444,0.478200,0.297462,-2.514828
68,-7,-7,8,planar,62,2.491674,0.268030,-2.208318,3.143755,0.000000,0.015497,0.169780,0.528165,0.341013,-2.592370
69,-8,11,3,planar,18,1.375410,0.116182,-1.901090,2.248204,0.000000,0.012234,0.333333,0.062016,0.783183,-2.657701
70,6,-5,2,planar,93,0.778354,-0.544858,-1.576083,1.325112,0.000000,0.057137,0.566667,0.440835,0.833801,-2.667699
71,6,1,3,planar,187,2.384408,0.014114,-2.110407,2.968605,0.000000,0.076220,0.173202,0.481125,0.426753,-2.680489
72,6,6,0,planar,90,2.084648,-0.320209,-1.971368,2.483902,0.000000,0.119629,0.059933,0.442215,0.360759,-2.690831
73,0,-6,-2,planar,114,1.737275,0.304321,-2.097166,2.714325,0.000000,0.000096,0.222967,0.505085,0.378727,-2.769895
74,-10,-5,8,planar,44,2.019771,0.590246,-2.223717,3.157181,0.000000,0.075968,0.260904,0.496101,0.522884,-2.770882
75,-6,6,8,planar,17,1.102214,-0.637728,-1.330159,2.058009,0.000000,0.046408,0.666667,0.086005,1.195984,-2.923682
76,6,7,0,planar,83,2.567656,0.078348,-2.343721,3.312758,0.000000,0.097684,0.094916,0.529815,0.369614,-3.010475
77,-7,-6,8,planar,68,1.276408,-0.214366,-1.875180,2.245126,0.000000,0.062240,0.536797,0.269298,0.941166,-3.058264
78,-9,-7,8,planar,38,1.318623,-0.235189,-1.928425,2.240466,0.000000,0.028951,0.046474,0.450618,0.223538,-3.085457
79,1,8,-2,linear,38,-0.999477,0.005986,-0.315545,1.799975,0.000000,0.000390,0.666667,0.068604,1.133860,-3.109012
