voxel_id,vx,vy,vz,group,base_label,final_label,relabel_mode,relabel_score,junction_score,junction_neighbor_count,junction_cluster_count,junction_orientation_dispersion,junction_dominant_fraction,occupancy_asymmetry,normal_variation,opposite_face_pair_ratio,planar_context_penalty,corner_context_bonus,baseline_in_top_k,baseline_rank,hard_in_top_k,hard_rank,scored_in_top_k,scored_rank,voxel_pcd_path,neighborhood_pcd_path,human_label,confidence,notes
6_5_-1,6,5,-1,shared_relabeled,planar,junction_like_mixed,hard_threshold+scored,0.660233,0.733348,28,3,0.496105,0.320622,0.228360,0.249239,0.666667,0.255705,0.721002,true,71,true,12,true,12,groups/shared_relabeled/voxels/6_5_-1/voxel.pcd,groups/shared_relabeled/voxels/6_5_-1/neighborhood_radius2.pcd,,,
4_-13_4,4,-13,4,shared_relabeled,planar,junction_like_mixed,hard_threshold+scored,0.685377,0.741997,13,3,0.637605,0.349450,0.021277,0.277049,0.333333,0.144558,0.664087,true,89,true,17,true,14,groups/shared_relabeled/voxels/4_-13_4/voxel.pcd,groups/shared_relabeled/voxels/4_-13_4/neighborhood_radius2.pcd,,,
5_-13_4,5,-13,4,shared_relabeled,planar,junction_like_mixed,hard_threshold+scored,0.835836,0.751544,10,4,0.686536,0.363358,0.666667,0.249705,0.000000,0.079604,1.470435,true,98,true,19,true,15,groups/shared_relabeled/voxels/5_-13_4/voxel.pcd,groups/shared_relabeled/voxels/5_-13_4/neighborhood_radius2.pcd,,,
5_12_-1,5,12,-1,shared_relabeled,planar,junction_like_mixed,hard_threshold+scored,0.761364,0.754878,19,3,0.569963,0.295627,1.000000,0.098492,0.000000,0.215108,1.632965,false,,false,,false,,groups/shared_relabeled/voxels/5_12_-1/voxel.pcd,groups/shared_relabeled/voxels/5_12_-1/neighborhood_radius2.pcd,,,
5_13_-1,5,13,-1,shared_relabeled,planar,junction_like_mixed,hard_threshold+scored,0.752663,0.751610,25,3,0.526561,0.298240,1.000000,0.026089,0.000000,0.149067,1.535220,false,,false,,false,,groups/shared_relabeled/voxels/5_13_-1/voxel.pcd,groups/shared_relabeled/voxels/5_13_-1/neighborhood_radius2.pcd,,,
6_13_-1,6,13,-1,shared_relabeled,planar,junction_like_mixed,hard_threshold+scored,0.838043,0.748126,21,3,0.528125,0.317904,1.000000,0.244278,0.000000,0.103886,1.829776,false,,false,,false,,groups/shared_relabeled/voxels/6_13_-1/voxel.pcd,groups/shared_relabeled/voxels/6_13_-1/neighborhood_radius2.pcd,,,
6_13_1,6,13,1,shared_relabeled,planar,junction_like_mixed,hard_threshold+scored,0.709529,0.762288,21,3,0.484212,0.278247,0.376812,0.260210,0.333333,0.237190,1.032442,false,,false,,false,,groups/shared_relabeled/voxels/6_13_1/voxel.pcd,groups/shared_relabeled/voxels/6_13_1/neighborhood_radius2.pcd,,,
6_5_-2,6,5,-2,shared_relabeled,planar,junction_like_mixed,hard_threshold+scored,0.788565,0.733265,23,3,0.484789,0.353323,0.810298,0.380754,0.333333,0.256983,1.672012,false,,false,,false,,groups/shared_relabeled/voxels/6_5_-2/voxel.pcd,groups/shared_relabeled/voxels/6_5_-2/neighborhood_radius2.pcd,,,
0_-10_6,0,-10,6,scored_only_relabeled,planar,junction_like_mixed,scored,0.662663,0.706379,29,3,0.500027,0.337669,0.666667,0.025788,0.000000,0.128599,1.168147,true,66,true,33,true,9,groups/scored_only_relabeled/voxels/0_-10_6/voxel.pcd,groups/scored_only_relabeled/voxels/0_-10_6/neighborhood_radius2.pcd,,,
5_4_4,5,4,4,scored_only_relabeled,planar,junction_like_mixed,scored,0.667680,0.715152,22,4,0.433503,0.326993,0.032787,0.254202,0.333333,0.154290,0.645905,true,113,true,61,true,26,groups/scored_only_relabeled/voxels/5_4_4/voxel.pcd,groups/scored_only_relabeled/voxels/5_4_4/neighborhood_radius2.pcd,,,
-2_-8_4,-2,-8,4,scored_only_relabeled,planar,junction_like_mixed,scored,0.674154,0.788834,18,4,0.437986,0.299708,0.333333,0.139953,0.000000,0.043470,0.955603,false,,true,127,true,60,groups/scored_only_relabeled/voxels/-2_-8_4/voxel.pcd,groups/scored_only_relabeled/voxels/-2_-8_4/neighborhood_radius2.pcd,,,
6_7_-2,6,7,-2,scored_only_relabeled,planar,junction_like_mixed,scored,0.746220,0.721488,20,3,0.579027,0.413212,0.416667,0.398008,0.333333,0.141350,1.262310,false,,true,181,true,88,groups/scored_only_relabeled/voxels/6_7_-2/voxel.pcd,groups/scored_only_relabeled/voxels/6_7_-2/neighborhood_radius2.pcd,,,
1_-10_4,1,-10,4,scored_only_relabeled,planar,junction_like_mixed,scored,0.686216,0.747766,25,3,0.449546,0.336673,0.482759,0.231372,0.333333,0.293264,1.110054,false,,false,,true,135,groups/scored_only_relabeled/voxels/1_-10_4/voxel.pcd,groups/scored_only_relabeled/voxels/1_-10_4/neighborhood_radius2.pcd,,,
6_12_0,6,12,0,hard_only_relabeled,planar,planar,hard_threshold,0.645560,0.725389,20,3,0.574238,0.298725,0.131559,0.419202,0.666667,0.242378,0.843972,false,,false,,false,,groups/hard_only_relabeled/voxels/6_12_0/voxel.pcd,groups/hard_only_relabeled/voxels/6_12_0/neighborhood_radius2.pcd,,,
6_12_1,6,12,1,hard_only_relabeled,planar,planar,hard_threshold,0.658406,0.720292,19,3,0.569890,0.308791,0.429224,0.151473,0.333333,0.233697,0.943301,false,,false,,false,,groups/hard_only_relabeled/voxels/6_12_1/voxel.pcd,groups/hard_only_relabeled/voxels/6_12_1/neighborhood_radius2.pcd,,,
