rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
0,-2,8,-1,volumetric,volumetric,95,2.663713,0.227480,1.001549,0.333052,4.388430,4.633295,0.515703,0.787709,0.114772,1.829346,3,0.657634,0.675225,0.882166,12.581415
1,6,2,2,planar,junction_like_mixed,191,2.243274,-0.179364,1.420192,1.349537,5.404639,4.239093,0.487507,1.000000,0.074281,2.158134,3,0.444204,0.694646,0.787723,11.778296
2,-2,8,0,corner_like,corner_like,49,1.607430,-0.401236,0.943660,0.469838,4.609198,5.126532,0.534060,0.815261,0.085446,1.884434,3,0.677131,0.734005,0.964498,11.415746
3,-3,8,-1,corner_like,corner_like,57,2.866183,0.210969,1.220927,0.101497,3.320904,2.588338,0.562943,0.487179,0.101237,1.429204,2,0.648840,0.317183,0.554262,10.105826
4,1,6,4,planar,junction_like_mixed,83,1.887903,-0.158916,1.192442,1.784906,3.234628,4.501655,0.402868,0.549020,0.152428,1.414460,3,0.423353,0.740347,0.763856,8.872807
5,-3,9,-1,planar,junction_like_mixed,58,-1.948498,0.678278,1.489180,1.059559,4.370787,5.180308,0.443198,0.666667,0.052844,1.731650,3,0.620462,0.764312,0.960771,8.710496
6,-1,9,-1,planar,junction_like_mixed,31,-0.795547,0.161935,1.442356,1.453164,4.611297,4.718118,0.484331,0.914286,0.128054,1.926227,3,0.601274,0.708932,0.871988,8.684995
7,2,7,-2,corner_like,corner_like,132,0.552474,-0.249911,1.191015,0.161734,4.624679,2.555683,0.733437,0.690973,0.062110,1.883545,2,0.730728,0.299513,0.584589,8.512207
8,-2,7,-1,corner_like,corner_like,96,2.290247,-0.083618,1.237765,0.180348,3.483467,1.167474,0.565354,0.545638,0.107694,1.496763,1,0.689931,0.000000,0.548072,7.914987
9,10,-1,2,linear,linear,42,-0.862081,0.289011,-0.285760,1.792991,5.384237,4.971314,0.950006,0.333333,0.001729,2.049174,3,0.536900,0.795151,0.796241,7.703729
10,4,6,3,corner_like,corner_like,64,-0.102694,0.029578,1.025995,0.228241,5.507972,1.168267,0.689297,0.905512,0.053943,2.193281,2,0.337315,0.191212,0.433506,7.400878
11,-1,8,0,volumetric,volumetric,120,1.502082,-0.304037,0.873661,0.435989,2.898061,2.844666,0.055286,0.666667,0.086167,1.207970,2,0.666959,0.347743,0.545907,7.378444
12,-6,0,5,corner_like,corner_like,33,-0.347042,0.225307,0.840904,0.611195,2.879375,4.362427,0.377515,0.415771,0.103853,1.233660,4,0.410138,0.726411,0.738692,7.349776
13,7,3,-4,corner_like,corner_like,64,1.726225,-0.514835,0.849345,0.303784,2.310320,2.768098,0.357188,0.499805,0.223315,1.165323,2,0.977410,0.301029,0.504426,6.835369
14,1,8,-2,corner_like,corner_like,115,2.207903,-0.237475,0.649283,0.365137,1.962055,2.590357,0.284532,0.546213,0.311008,1.118286,2,0.751652,0.302138,0.519426,6.806986
15,-1,8,-1,corner_like,corner_like,122,-0.509280,-0.381531,1.077659,0.219023,3.758849,3.056490,0.317153,0.830228,0.131718,1.608074,2,0.664460,0.352525,0.675935,6.783163
16,8,1,5,planar,planar,51,2.084794,-0.392968,-1.172619,1.550479,4.852717,2.503046,0.352919,1.000000,0.101902,1.976441,2,0.476393,0.338388,0.571951,6.324490
17,6,-11,6,planar,planar,41,2.169936,-0.008375,-1.370816,2.092397,4.587613,2.859475,0.294191,1.000000,0.123473,1.897158,3,0.459513,0.514406,0.516230,6.145435
18,10,-1,1,linear,linear,18,1.196679,-0.450069,-0.269466,1.796357,3.152165,4.187472,0.624341,0.141243,0.045675,1.264895,4,0.577910,0.684157,0.663676,6.020424
