vx,vy,vz,center_x,center_y,center_z,num_points,base_label,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty,occupied_face_count,occupied_face_ratio,opposite_face_pair_ratio,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_neighbor_count,junction_cluster_count,junction_entropy,junction_dominant_fraction,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score
-22,-10,3,-21.500000,-9.500000,3.500000,21,planar,planar,0.182187,0.054212,0.000490,0.702439,0.294870,0.002691,0.997309,0.016918,2.195615,3.352192,0.458551,-1.156577,0.456421,0.621034,1.414848,0.164613,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,3,1,0.000000,1.000000,0.000000,0.000000,0.008889
-21,-11,3,-20.500000,-10.500000,3.500000,20,planar,planar,0.169926,0.085671,0.000249,0.495832,0.502701,0.001467,0.998533,0.015367,2.073036,15.820838,0.479972,-13.747803,0.273502,1.964187,1.259125,1.690686,1,0.166667,0.000000,0.001027,0.333333,0.061925,0.768053,3,1,0.000000,1.000000,0.000000,0.000000,0.064033
-21,-11,4,-20.500000,-10.500000,4.500000,17,planar,planar,0.120375,0.054596,0.000242,0.546453,0.451540,0.002006,0.997994,0.011665,2.040759,37.715153,0.397324,-35.674394,0.489243,4.074373,1.471159,3.585131,1,0.166667,0.000000,0.001027,0.333333,0.058863,0.768053,3,1,0.000000,1.000000,0.000000,0.000000,0.064033
-20,-12,3,-19.500000,-11.500000,3.500000,22,planar,planar,0.099105,0.057154,0.000092,0.423297,0.575771,0.000932,0.999068,0.008058,1.963872,85.685628,0.381101,-83.721756,0.623626,5.338249,1.623626,4.714623,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,4,2,0.706224,0.807717,0.916524,0.199119,0.168889
-18,-13,4,-17.500000,-12.500000,4.500000,17,linear,linear,0.139237,0.000117,0.000000,0.999158,0.000840,0.000002,0.999998,0.000154,1.033403,37.384067,0.318697,-36.350663,0.343473,3.195532,0.738776,2.852060,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,6,1,0.000000,1.000000,0.000000,0.000000,0.008889
-17,-14,4,-16.500000,-13.500000,4.500000,26,planar,planar,0.116595,0.083861,0.000273,0.280751,0.716907,0.002341,0.997659,0.013872,2.109771,31.596955,0.430307,-29.487184,0.327501,3.399632,1.300345,3.072131,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,9,1,0.581162,0.861172,0.961950,0.000000,0.175139
-17,-12,2,-16.500000,-11.500000,2.500000,22,planar,planar,0.084787,0.048925,0.000444,0.422967,0.571793,0.005240,0.994760,0.012261,2.172489,27.060439,0.339592,-24.887949,0.440233,3.351045,1.411621,2.910812,1,0.166667,0.000000,0.000232,0.333333,0.065969,0.766980,9,1,0.380742,0.925982,0.910617,0.000000,0.230379
-17,-12,3,-16.500000,-11.500000,3.500000,26,planar,planar,0.100010,0.048080,0.000095,0.519251,0.479804,0.000946,0.999054,0.007690,1.977050,21.507836,0.360335,-19.530786,0.524589,2.868259,1.501137,2.343671,1,0.166667,0.000000,0.000232,0.333333,0.060627,0.766980,9,1,0.496475,0.891138,0.912926,0.000000,0.230219
-16,-13,1,-15.500000,-12.500000,1.500000,35,planar,planar,0.110546,0.051578,0.000082,0.533425,0.465836,0.000739,0.999261,0.007752,1.989034,0.117827,0.378503,1.871207,0.631641,0.592330,1.631641,-0.039311,1,0.166667,0.000000,0.000352,0.333333,0.059795,0.767142,11,1,0.329511,0.939479,0.947873,0.000000,0.242729
-16,-13,2,-15.500000,-12.500000,2.500000,33,planar,planar,0.111603,0.050242,0.000094,0.549815,0.449342,0.000843,0.999157,0.008080,1.995242,4.114373,0.378864,-2.119131,0.499362,0.562087,1.484826,0.062725,3,0.500000,0.333333,0.000886,0.409357,0.272514,0.718155,14,1,0.441660,0.908439,0.999447,0.000000,0.260768
