rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
0,-9,-7,3,corner_like,corner_like,41,1.869886,-0.072969,0.779400,0.168968,5.174620,2.165663,0.983221,0.333333,0.000758,2.094016,2,0.499864,0.425608,0.505995,9.747631
1,-9,-6,1,volumetric,volumetric,76,0.810466,-0.073854,0.920239,0.301262,3.823179,1.931068,0.448384,0.802817,0.120435,1.755084,2,0.582011,0.365099,0.652550,7.109835
2,-4,-7,1,corner_like,corner_like,59,0.232321,-0.340298,0.776439,0.289808,4.807619,1.583974,0.434398,1.000000,0.084900,2.086438,3,0.274142,0.448782,0.522815,6.770247
3,-6,0,4,volumetric,volumetric,84,1.046973,-0.421355,1.048855,0.210941,3.620968,1.181148,0.342047,0.841924,0.102570,1.654548,2,0.526335,0.284479,0.549682,6.265649
4,-9,-5,0,corner_like,corner_like,128,1.900154,-0.503182,0.622155,0.300028,1.588839,2.682558,0.401187,0.282171,0.233141,0.985324,3,0.566268,0.607123,0.611062,5.990497
5,11,-6,6,corner_like,corner_like,45,2.797609,0.152757,0.244907,0.832560,2.440678,0.909788,0.224462,0.761905,0.307437,1.407785,2,0.678781,0.225801,0.492959,5.713178
6,-3,-3,3,volumetric,volumetric,308,1.858364,-0.194299,0.802991,0.514004,3.135135,-0.090717,0.505729,0.451977,0.111384,1.446576,1,0.511684,0.000000,0.400755,4.997468
7,-9,-6,2,planar,planar,50,2.357156,-0.089251,-1.152426,1.722515,3.499826,2.097689,0.375362,0.815873,0.161457,1.670866,2,0.596368,0.390914,0.660276,4.990480
8,-8,5,1,corner_like,corner_like,117,0.533900,-0.355174,0.297885,0.765975,3.268796,1.291961,0.382239,0.806202,0.244235,1.669511,2,0.796298,0.248372,0.590839,4.271393
9,11,-5,6,corner_like,corner_like,45,0.521343,-0.095409,1.107584,0.153880,1.768310,0.727330,0.181717,0.357724,0.116506,0.905480,2,0.688451,0.196629,0.408074,3.875278
10,4,-9,4,planar,planar,43,0.884669,-0.183903,-1.280135,1.358759,4.305898,1.185721,0.625925,0.756098,0.116072,1.943372,2,0.490366,0.287660,0.541551,3.553492
11,-3,-8,0,corner_like,corner_like,108,-2.254456,0.613387,0.654533,0.323744,4.579212,0.273691,0.378566,1.000000,0.099436,2.011065,2,0.332261,0.174702,0.430000,3.542623
12,-6,1,5,volumetric,volumetric,63,1.479320,-0.384325,0.813533,0.482044,-0.071215,1.842173,0.061175,0.165533,0.302871,0.398005,2,0.602158,0.357957,0.323760,3.197442
13,-8,1,5,planar,planar,71,2.467906,-0.003346,-1.368611,1.694671,2.523043,1.271626,0.206441,0.766667,0.260131,1.388695,2,0.645420,0.270898,0.533834,3.195946
14,-9,-4,2,planar,planar,111,2.766632,0.203535,-1.416734,1.724139,-0.007792,3.208731,0.121453,0.206842,0.395094,0.524820,3,0.591601,0.692739,0.581260,3.030233
15,1,-9,4,planar,planar,58,0.202726,-0.513156,-1.064085,1.282943,4.325384,1.160111,0.296020,1.000000,0.090430,1.899627,2,0.410400,0.286359,0.514280,2.828036
16,-8,0,4,corner_like,corner_like,50,-1.706000,0.412011,0.950694,0.189109,1.995830,1.275449,0.352855,0.506034,0.228478,1.166324,2,0.673726,0.262608,0.515688,2.738876
17,-6,-1,4,corner_like,corner_like,93,2.701394,-0.165452,0.749869,0.235052,-0.134613,-0.347371,0.049329,0.205165,0.351019,0.425609,1,0.403484,0.000000,0.137438,2.568776
18,-5,-3,3,corner_like,corner_like,225,2.836822,0.372406,0.406593,0.584366,-0.622715,-0.152627,0.008733,0.183668,0.457191,0.347158,1,0.641671,0.000000,0.227849,2.256113
19,-2,-8,4,planar,planar,85,2.539067,0.046384,-1.484037,2.124740,1.661871,1.576006,0.340870,0.522409,0.351584,1.168157,2,0.421391,0.343743,0.445731,2.214551
20,-4,15,5,linear,linear,19,-2.046042,0.879251,-0.468273,1.773219,4.096905,1.485700,0.449036,0.666667,0.049185,1.739532,2,0.917680,0.269383,0.449057,2.174323
21,-7,-4,2,linear,linear,15,-4.056544,1.309636,-0.237886,1.577256,4.703508,1.841990,0.385353,1.000000,0.062567,2.020227,2,0.633382,0.345688,0.626822,1.983448
22,11,-7,5,planar,planar,18,1.103329,-0.543381,-1.277572,2.167088,2.615358,1.987522,0.388253,0.432099,0.136339,1.266117,3,0.567508,0.508067,0.483126,1.718168
23,-9,-5,2,planar,planar,52,0.883191,-0.435181,-1.324319,1.382743,3.536813,0.307127,0.426487,0.792961,0.187839,1.714681,1,0.643202,0.000000,0.634951,1.584888
