rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
0,6,13,0,volumetric,volumetric,36,2.835336,0.329004,1.399102,0.132549,4.385381,4.726026,0.520785,0.736434,0.064483,1.779804,4,0.526265,0.729941,0.900541,13.542300
1,6,-2,-1,corner_like,corner_like,68,0.446755,0.048354,0.991180,0.275631,6.379912,4.753699,0.731711,1.000000,0.034425,2.487809,3,0.678311,0.682392,0.904944,12.344270
2,6,14,1,corner_like,corner_like,26,2.641705,-0.082174,1.063623,0.270888,3.675225,4.325987,0.257801,0.666667,0.065514,1.481365,3,0.646785,0.659568,0.763055,11.353479
3,6,12,-1,corner_like,corner_like,35,2.575320,-0.056109,0.575947,0.560220,3.376049,4.934302,0.298088,0.822917,0.246731,1.574294,3,0.629165,0.738349,0.884137,10.845290
4,4,-3,-1,volumetric,volumetric,193,2.785246,0.287700,1.402047,0.199947,3.208837,2.285846,0.362529,0.513761,0.065644,1.321218,2,0.817610,0.235808,0.549116,9.769729
5,4,-1,-1,corner_like,corner_like,310,2.601651,0.051998,1.028823,0.196657,3.849140,2.404331,0.635071,0.392982,0.058838,1.556293,2,0.829790,0.249842,0.550699,9.739285
6,6,-2,0,corner_like,corner_like,160,2.104318,-0.215324,0.958982,0.198831,2.641607,3.871727,0.452482,0.435880,0.170354,1.223652,3,0.627624,0.600044,0.674209,9.162479
7,4,-2,-1,volumetric,volumetric,168,2.395232,0.131032,1.325488,0.486083,2.229439,2.336637,0.329043,0.477535,0.190089,1.102830,2,0.798318,0.257419,0.506794,7.931746
8,1,-1,-2,corner_like,corner_like,1646,1.960966,-0.324566,1.104836,0.217410,3.666729,0.858443,0.397907,0.679092,0.108368,1.550843,1,0.704150,0.000000,0.576685,7.048999
9,0,-10,6,planar,junction_like_mixed,38,1.107023,-0.359007,1.010371,1.893754,2.684329,4.264360,0.025788,0.666667,0.128599,1.168147,3,0.500027,0.706379,0.662663,6.813322
10,6,7,2,volumetric,volumetric,35,1.004453,-0.146068,1.235435,0.231046,4.735381,0.080327,0.843240,0.408163,0.020695,1.854020,1,0.267153,0.000000,0.332838,6.678482
11,6,6,2,corner_like,corner_like,60,2.121384,-0.056270,0.693629,0.344801,2.662090,1.509343,0.349893,0.415771,0.150310,1.196370,2,0.375294,0.243649,0.388810,6.585376
12,6,5,-1,planar,junction_like_mixed,110,1.287938,-0.535533,1.459481,1.215789,1.091942,4.388606,0.249239,0.228360,0.255705,0.721002,3,0.496105,0.733348,0.660233,6.476647
13,6,8,2,corner_like,corner_like,38,1.648937,-0.752185,0.949696,0.191866,4.359248,0.226250,0.685026,0.503876,0.055647,1.745716,1,0.374527,0.000000,0.349632,6.240081
14,4,-13,4,planar,junction_like_mixed,16,-0.106566,-0.018102,1.298056,1.449137,1.307873,4.644864,0.277049,0.021277,0.144558,0.664087,3,0.637605,0.741997,0.685377,5.676988
15,5,-13,4,planar,junction_like_mixed,22,-3.474898,1.008915,1.259947,1.723696,3.610330,4.954758,0.249705,0.666667,0.079604,1.470435,4,0.686536,0.751544,0.835836,5.635356
16,1,-8,4,corner_like,corner_like,121,0.628149,-0.365476,0.753134,0.234054,1.081539,3.663600,0.192415,0.317394,0.281841,0.742227,3,0.467699,0.655121,0.526877,5.526893
17,6,3,-1,corner_like,corner_like,213,2.185997,0.023122,0.547502,0.584978,1.179786,2.152657,0.345125,0.181878,0.302643,0.799318,2,0.613837,0.296249,0.406744,5.504087
18,6,-3,0,corner_like,corner_like,288,2.441887,-0.182950,0.478412,0.632977,-0.135192,3.402405,0.119043,0.106960,0.415498,0.411697,3,0.631018,0.576362,0.435510,5.371586
19,6,5,0,corner_like,corner_like,115,0.739882,-0.218745,0.741396,0.439406,-0.184385,4.415057,0.063744,0.126158,0.379155,0.358161,4,0.437249,0.766262,0.591132,5.053799
20,-1,-8,5,linear,linear,25,-1.971618,0.713492,-0.423866,1.777671,3.974459,4.538837,0.336195,0.666667,0.058149,1.587197,3,0.488367,0.726006,0.802849,5.053633
21,6,5,2,volumetric,volumetric,58,2.172327,-0.256479,1.091752,0.179061,1.251277,0.866124,0.113634,0.382525,0.179207,0.707518,2,0.355894,0.193610,0.207437,4.945940
22,6,4,-1,corner_like,corner_like,204,2.253878,0.025324,0.349503,0.840997,0.830247,2.149275,0.281881,0.218245,0.392561,0.753941,2,0.557674,0.318402,0.366523,4.767231
23,6,-3,-1,corner_like,corner_like,184,-0.027718,-0.227208,0.736699,0.569285,1.971488,2.449203,0.403994,0.340637,0.256244,1.053426,2,0.817167,0.272456,0.483447,4.333179
24,6,-2,1,corner_like,corner_like,275,2.879421,0.398547,0.702215,0.593394,-0.149586,1.036118,0.090424,0.133429,0.411250,0.402177,2,0.422651,0.224544,0.142315,4.273321
25,-4,-8,8,linear,linear,47,0.529016,-0.167394,-0.354781,1.748685,1.803276,4.152007,0.287383,0.143939,0.105001,0.812967,3,0.552587,0.710660,0.593175,4.213440
