voxel_size,min_points_per_voxel,shape_exponent,axis_scale_quantile,score_only_corner_like_fraction,score_only_planar_fraction,score_only_corner_minus_planar,corner_priority_corner_like_fraction,corner_priority_planar_fraction,corner_priority_corner_minus_planar,nonplanar_priority_corner_like_fraction,nonplanar_priority_planar_fraction,nonplanar_priority_corner_minus_planar
0.8,15,1.0,0.85,0.14,0.685,-109,0.15,0.63,-96,0.15,0.625,-95
0.8,15,1.0,0.95,0.135,0.69,-111,0.15,0.63,-96,0.15,0.625,-95
0.8,15,1.4,0.85,0.14,0.69,-110,0.15,0.64,-98,0.15,0.625,-95
0.8,15,1.4,0.95,0.135,0.705,-114,0.15,0.645,-99,0.15,0.625,-95
0.8,20,1.0,0.85,0.145,0.7,-111,0.145,0.685,-108,0.145,0.675,-106
0.8,20,1.0,0.95,0.14,0.7,-112,0.145,0.685,-108,0.145,0.675,-106
0.8,20,1.4,0.85,0.145,0.705,-112,0.145,0.685,-108,0.145,0.675,-106
0.8,20,1.4,0.95,0.14,0.705,-113,0.145,0.685,-108,0.145,0.675,-106
1.0,15,1.0,0.85,0.15,0.705,-111,0.16,0.665,-101,0.16,0.66,-100
1.0,15,1.0,0.95,0.15,0.705,-111,0.16,0.665,-101,0.16,0.655,-99
1.0,15,1.4,0.85,0.15,0.71,-112,0.16,0.665,-101,0.16,0.655,-99
1.0,15,1.4,0.95,0.145,0.715,-114,0.16,0.66,-100,0.16,0.66,-100
1.0,20,1.0,0.85,0.15,0.72,-114,0.16,0.685,-105,0.16,0.675,-103
1.0,20,1.0,0.95,0.15,0.715,-113,0.16,0.69,-106,0.16,0.685,-105
1.0,20,1.2,0.9,0.15,0.72,-114,0.16,0.685,-105,0.16,0.685,-105
1.0,20,1.4,0.85,0.15,0.725,-115,0.16,0.685,-105,0.16,0.68,-104
1.0,20,1.4,0.95,0.15,0.725,-115,0.16,0.695,-107,0.16,0.685,-105
1.2,15,1.0,0.85,0.125,0.73,-121,0.135,0.71,-115,0.135,0.705,-114
1.2,15,1.0,0.95,0.125,0.74,-123,0.135,0.715,-116,0.135,0.705,-114
1.2,15,1.4,0.85,0.125,0.735,-122,0.135,0.715,-116,0.135,0.71,-115
1.2,15,1.4,0.95,0.125,0.74,-123,0.135,0.715,-116,0.135,0.715,-116
1.2,20,1.0,0.85,0.13,0.73,-120,0.135,0.715,-116,0.135,0.71,-115
1.2,20,1.0,0.95,0.13,0.735,-121,0.135,0.715,-116,0.135,0.715,-116
1.2,20,1.4,0.85,0.13,0.735,-121,0.135,0.72,-117,0.135,0.715,-116
1.2,20,1.4,0.95,0.125,0.74,-123,0.135,0.72,-117,0.135,0.715,-116
