rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,5,-4,-2,corner_like,135,2.831631,0.558828,0.000000,0.000000,3.390459
1,-9,-10,10,planar,26,2.636636,0.472788,0.000000,0.000000,3.109423
2,7,3,-2,corner_like,72,2.697826,0.322312,0.000000,0.000000,3.020138
3,5,-5,-2,volumetric,88,2.625971,0.274978,0.000000,0.000000,2.900949
4,-8,-10,10,planar,36,2.501399,0.335355,0.000000,0.000000,2.836754
5,-10,5,10,planar,29,2.475242,0.325597,0.000000,0.000000,2.800839
6,-6,-10,10,planar,38,2.536938,0.258277,0.000000,0.000000,2.795214
7,5,-3,-2,corner_like,138,2.414975,0.346541,0.000000,0.000000,2.761515
8,-9,12,10,planar,17,2.028340,0.497771,0.000000,0.000000,2.526110
9,6,18,1,planar,21,2.228395,0.260368,0.000000,0.000000,2.488763
10,3,-6,5,planar,54,2.248237,0.183564,0.000000,0.000000,2.431801
11,-11,4,10,planar,35,2.121766,0.245621,0.000000,0.000000,2.367387
12,6,-4,-2,planar,41,2.101778,0.223016,0.000000,0.000000,2.324794
13,3,-5,5,planar,58,1.911535,0.254139,0.000000,0.000000,2.165675
14,6,-13,0,planar,23,1.874387,0.221266,0.000000,0.000000,2.095653
15,5,-1,-1,corner_like,240,1.981447,0.098892,0.000000,0.000000,2.080338
16,4,-13,5,planar,28,1.933198,0.139352,0.000000,0.000000,2.072550
17,7,-4,2,planar,70,2.043184,0.028154,0.000000,0.000000,2.071338
18,4,-9,5,planar,26,2.010481,0.057400,0.000000,0.000000,2.067881
19,-2,14,8,planar,38,1.707357,0.325143,0.000000,0.000000,2.032499
20,3,-9,5,planar,28,1.800962,0.159033,0.000000,0.000000,1.959995
21,-8,11,10,planar,20,1.775752,0.181478,0.000000,0.000000,1.957230
22,-10,4,10,planar,34,1.682239,0.187480,0.000000,0.000000,1.869719
23,-7,11,10,linear,15,1.555266,0.278295,0.000000,0.000000,1.833561
24,3,-10,5,planar,44,1.917134,-0.088106,0.000000,0.000000,1.829027
25,8,13,-1,planar,25,1.833951,-0.054695,0.000000,0.000000,1.779256
26,-5,-10,10,planar,39,1.711591,0.066338,0.000000,0.000000,1.777929
27,6,17,0,planar,23,1.825062,-0.085108,0.000000,0.000000,1.739954
28,-7,8,10,planar,24,1.911096,-0.207304,0.000000,0.000000,1.703792
29,6,-13,-1,planar,24,1.492863,0.187810,0.000000,0.000000,1.680672
30,-12,4,10,planar,32,1.569191,-0.003556,0.000000,0.000000,1.565635
31,3,-8,5,planar,42,1.500004,0.040053,0.000000,0.000000,1.540056
32,4,-8,5,planar,41,1.639161,-0.129500,0.000000,0.000000,1.509661
33,7,-2,5,corner_like,80,1.424026,0.022861,0.000000,0.000000,1.446887
34,-4,10,10,planar,41,1.568934,-0.135714,0.000000,0.000000,1.433220
35,7,-2,2,planar,45,1.643252,-0.224324,0.000000,0.000000,1.418928
36,8,13,0,planar,17,1.544464,-0.158004,0.000000,0.000000,1.386460
37,1,-10,5,corner_like,91,1.444110,-0.070501,0.000000,0.000000,1.373609
38,2,0,-2,corner_like,1132,1.359549,-0.085823,0.000000,0.000000,1.273726
39,-13,5,10,planar,23,1.535336,-0.274167,0.000000,0.000000,1.261168
40,-12,8,10,planar,18,1.476666,-0.280542,0.000000,0.000000,1.196123
41,-11,3,10,planar,45,1.075359,0.113846,0.000000,0.000000,1.189204
42,-7,13,10,planar,16,1.715979,-0.547773,0.000000,0.000000,1.168205
43,-9,8,10,planar,21,1.300355,-0.148816,0.000000,0.000000,1.151540
44,-1,-10,6,linear,28,1.245557,-0.096615,0.000000,0.000000,1.148943
45,-7,-10,10,planar,34,1.406872,-0.307443,0.000000,0.000000,1.099429
46,2,-10,5,planar,57,1.242164,-0.241769,0.000000,0.000000,1.000395
47,6,-13,-2,planar,17,1.383186,-0.448413,0.000000,0.000000,0.934773
48,-7,10,10,planar,24,1.175167,-0.251385,0.000000,0.000000,0.923782
49,-6,10,10,planar,20,1.078673,-0.180301,0.000000,0.000000,0.898372
50,-10,-5,10,planar,21,1.009180,-0.128026,0.000000,0.000000,0.881154
51,-8,8,10,planar,21,1.091288,-0.234665,0.000000,0.000000,0.856624
52,-3,14,4,planar,50,1.137105,-0.309830,0.000000,0.000000,0.827275
53,-11,1,10,planar,36,0.843953,-0.037502,0.000000,0.000000,0.806451
54,7,4,2,planar,25,1.070042,-0.286590,0.000000,0.000000,0.783452
55,-3,11,10,planar,49,0.849739,-0.098824,0.000000,0.000000,0.750915
56,6,-8,-2,linear,21,0.755379,-0.023558,0.000000,0.000000,0.731821
57,-5,9,10,planar,45,0.953844,-0.223087,0.000000,0.000000,0.730757
58,0,-10,5,planar,95,1.039384,-0.312836,0.000000,0.000000,0.726548
59,4,-10,5,planar,30,1.008282,-0.302981,0.000000,0.000000,0.705301
60,5,5,5,linear,15,0.872617,-0.181376,0.000000,0.000000,0.691241
61,5,1,5,corner_like,15,0.933009,-0.246149,0.000000,0.000000,0.686860
62,-6,9,10,planar,29,0.879022,-0.226608,0.000000,0.000000,0.652413
63,-2,14,4,planar,51,0.850288,-0.204924,0.000000,0.000000,0.645363
64,6,-3,-2,planar,38,0.723903,-0.105311,0.000000,0.000000,0.618592
65,4,-4,5,planar,135,0.781849,-0.194002,0.000000,0.000000,0.587848
66,8,-7,-1,planar,66,0.829342,-0.246906,0.000000,0.000000,0.582436
67,8,3,-1,corner_like,153,0.744971,-0.188514,0.000000,0.000000,0.556457
68,2,-9,5,planar,59,0.655780,-0.145296,0.000000,0.000000,0.510484
69,7,-16,2,corner_like,44,0.867546,-0.372760,0.000000,0.000000,0.494786
70,-14,5,10,planar,18,0.664040,-0.189769,0.000000,0.000000,0.474271
71,-4,14,8,corner_like,28,0.647380,-0.177360,0.000000,0.000000,0.470020
72,3,-7,5,corner_like,25,0.830991,-0.369265,0.000000,0.000000,0.461726
73,8,11,-2,planar,26,0.623025,-0.192320,0.000000,0.000000,0.430705
74,7,-1,2,planar,107,0.120307,0.290563,0.000000,0.000000,0.410870
75,-11,-10,10,planar,19,0.363032,0.019156,0.000000,0.000000,0.382188
76,4,-7,5,corner_like,41,0.305865,-0.078760,0.000000,0.000000,0.227105
77,2,-1,-2,corner_like,1069,0.355202,-0.164806,0.000000,0.000000,0.190396
78,15,-1,-1,linear,18,0.361218,-0.183423,0.000000,0.000000,0.177795
79,-5,13,10,planar,22,0.057305,0.058689,0.000000,0.000000,0.115994
80,-4,12,10,planar,37,0.248600,-0.155279,0.000000,0.000000,0.093321
81,2,-7,5,planar,44,-0.075461,0.149403,0.000000,0.000000,0.073942
82,7,-9,-2,linear,28,0.325785,-0.266250,0.000000,0.000000,0.059535
83,-3,10,10,planar,40,0.312151,-0.264107,0.000000,0.000000,0.048043
84,0,-10,6,planar,63,0.010347,0.006551,0.000000,0.000000,0.016899
85,8,2,-1,corner_like,178,0.105453,-0.103095,0.000000,0.000000,0.002359
86,8,9,-1,planar,54,0.062071,-0.077232,0.000000,0.000000,-0.015161
87,8,8,-1,planar,66,0.098036,-0.166667,0.000000,0.000000,-0.068632
88,-10,-9,10,linear,16,0.089544,-0.161301,0.000000,0.000000,-0.071757
89,-7,9,10,planar,24,-0.207150,0.094954,0.000000,0.000000,-0.112196
90,4,-5,5,planar,85,-0.107049,-0.054277,0.000000,0.000000,-0.161326
