vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty
-13,-7,10,-10.000000,-5.200000,8.400000,23,planar,0.056572,0.038466,0.000585,0.320039,0.669626,0.010335,0.989665,0.010836,2.225112,2.988210,0.268193,-0.763097,0.842781,0.790110,1.761277,-0.052671
-13,4,10,-10.000000,3.600000,8.400000,20,planar,0.059793,0.022833,0.000146,0.618142,0.379416,0.002442,0.997558,0.005842,1.965550,4.663082,0.245615,-2.697533,0.899192,1.130318,1.734334,0.231126
-13,5,10,-10.000000,4.400000,8.400000,23,planar,0.083662,0.052350,0.001000,0.374263,0.613781,0.011956,0.988044,0.016363,2.362146,0.826810,0.347081,1.535336,0.767924,0.036548,1.749260,-0.731377
-12,-9,10,-9.200000,-6.800000,8.400000,20,linear,0.096427,0.000220,0.000002,0.997720,0.002258,0.000022,0.999978,0.000356,1.113506,3.603290,0.269412,-2.489784,0.364559,0.503277,0.885142,0.138718
-12,-8,10,-9.200000,-6.000000,8.400000,24,planar,0.053745,0.050465,0.000613,0.061037,0.927564,0.011399,0.988601,0.011844,2.244613,11.603347,0.283028,-9.358733,0.971099,2.306100,1.970334,1.335001
-12,-7,10,-9.200000,-5.200000,8.400000,26,planar,0.074873,0.044083,0.000190,0.411230,0.586233,0.002536,0.997464,0.008558,2.042541,11.302946,0.333017,-9.260405,0.607604,1.645779,1.602709,1.038176
-12,-6,10,-9.200000,-4.400000,8.400000,21,planar,0.051407,0.039707,0.000245,0.227595,0.767643,0.004762,0.995238,0.007935,2.050483,3.415219,0.261519,-1.364736,0.691268,0.555547,1.641849,-0.135721
-12,-4,10,-9.200000,-2.800000,8.400000,24,linear,0.059793,0.009399,0.000090,0.842803,0.155693,0.001504,0.998496,0.003698,1.887838,14.250735,0.226892,-12.362897,0.630426,1.677174,1.329347,1.046748
-12,3,10,-9.200000,2.800000,8.400000,27,linear,0.065320,0.015771,0.000142,0.758554,0.239269,0.002177,0.997823,0.005271,1.973863,2.428853,0.249682,-0.454990,0.572422,0.412273,1.384027,-0.160149
-12,4,10,-9.200000,3.600000,8.400000,32,planar,0.064928,0.045168,0.000438,0.304330,0.688921,0.006748,0.993252,0.010872,2.196968,0.627777,0.310509,1.569191,0.670304,0.143421,1.606701,-0.526882
-12,5,10,-9.200000,4.400000,8.400000,21,linear,0.072624,0.000372,0.000003,0.994873,0.005090,0.000037,0.999963,0.000416,1.200351,2.395082,0.237666,-1.194731,0.257571,0.311528,0.968913,0.053956
-11,-9,10,-8.400000,-6.800000,8.400000,22,planar,0.077839,0.029368,0.000275,0.622710,0.373752,0.003538,0.996462,0.008571,2.071672,19.340560,0.287736,-17.268888,0.740088,2.395787,1.607762,1.655699
-11,-7,10,-8.400000,-5.200000,8.400000,31,planar,0.071917,0.053493,0.000374,0.256189,0.738613,0.005198,0.994802,0.011288,2.167785,9.041339,0.334121,-6.873554,0.649909,1.513540,1.554348,0.863630
-11,-6,10,-8.400000,-4.400000,8.400000,44,planar,0.073257,0.041802,0.000094,0.429381,0.569339,0.001280,0.998720,0.006597,2.002333,7.283137,0.329538,-5.280803,0.344792,0.861183,1.308012,0.516391
-11,-5,10,-8.400000,-3.600000,8.400000,22,linear,0.060988,0.000149,0.000004,0.997564,0.002371,0.000064,0.999936,0.000329,1.066342,6.685428,0.209992,-5.619086,0.384144,1.273253,0.863912,0.889109
-11,-4,10,-8.400000,-2.800000,8.400000,30,linear,0.062915,0.002530,0.000261,0.959792,0.036058,0.004150,0.995850,0.003464,1.844500,12.314719,0.222504,-10.470220,0.586258,3.905440,1.391825,3.319182
-11,-3,10,-8.400000,-2.000000,8.400000,20,planar,0.021016,0.010380,0.000245,0.506084,0.482237,0.011679,0.988321,0.003769,1.960585,10.869319,0.166719,-8.908734,0.470036,2.395835,1.440520,1.925799
-11,1,10,-8.400000,1.200000,8.400000,36,planar,0.048825,0.019520,0.000181,0.600206,0.396091,0.003703,0.996297,0.005565,2.026416,1.182463,0.240292,0.843953,0.546777,0.111188,1.421169,-0.435589
-11,2,10,-8.400000,2.000000,8.400000,44,planar,0.044260,0.033001,0.000139,0.254384,0.742465,0.003151,0.996849,0.005884,2.023820,2.538384,0.263247,-0.514564,0.436829,0.627175,1.382592,0.190345
-11,3,10,-8.400000,2.800000,8.400000,45,planar,0.073397,0.040928,0.000183,0.442378,0.555134,0.002488,0.997512,0.008186,2.070070,0.994711,0.326087,1.075359,0.392037,0.221934,1.366259,-0.170103
