rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,6,13,0,volumetric,36,2.835336,0.062385,1.318980,0.132549,4.084152
1,4,-3,-1,volumetric,193,2.785246,-0.124857,1.350097,0.199947,3.810539
2,6,14,1,corner_like,26,2.641705,-0.362377,0.776490,0.270888,2.784929
3,6,2,2,corner_like,161,2.762012,-0.302292,0.644436,0.354662,2.749494
4,4,-1,-1,corner_like,310,2.601651,-0.604318,0.912959,0.196657,2.713634
5,6,-2,1,corner_like,275,2.879421,0.157518,0.191258,0.593394,2.634803
6,4,-2,-1,volumetric,168,2.395232,-0.371806,1.083355,0.486083,2.620699
7,6,3,2,corner_like,154,2.653074,-0.601479,0.619811,0.351833,2.319573
8,6,0,2,corner_like,147,2.253954,-0.387105,0.599817,0.221404,2.245264
9,6,5,2,volumetric,58,2.172327,-0.876211,1.019555,0.179061,2.136610
10,6,-3,1,corner_like,276,2.803596,-0.132084,0.006749,0.628945,2.049316
11,1,-1,-2,corner_like,1646,1.960966,-0.734326,1.019528,0.217410,2.028759
12,6,-2,0,corner_like,160,2.104318,-0.657881,0.721290,0.198831,1.968897
13,6,7,2,volumetric,35,1.004453,-0.098928,1.115927,0.231046,1.790405
14,6,1,2,corner_like,206,2.683688,-0.160808,-0.058263,0.687923,1.776694
15,6,12,-1,corner_like,35,2.575320,-0.369686,0.092861,0.560220,1.738274
16,6,-2,2,volumetric,201,2.289798,-0.525875,0.365272,0.446159,1.683036
17,6,-4,2,corner_like,123,2.416321,-0.565000,0.227355,0.410627,1.668049
18,6,-1,2,corner_like,141,2.038183,-0.538846,0.451247,0.292924,1.657660
19,6,-3,2,corner_like,169,2.290833,-0.781896,0.399856,0.320815,1.587978
20,6,6,2,corner_like,60,2.121384,-0.733481,0.398543,0.344801,1.441645
21,6,-3,0,corner_like,288,2.441887,-0.371476,-0.023707,0.632977,1.413727
22,6,8,2,corner_like,38,1.648937,-0.842824,0.795565,0.191866,1.409812
23,6,3,-1,corner_like,213,2.185997,-0.320793,0.050975,0.584978,1.331202
24,6,4,2,corner_like,149,2.083900,-0.695033,0.259120,0.372733,1.275254
25,6,-2,3,corner_like,197,1.951188,-0.338646,0.074435,0.627716,1.059262
26,6,-2,-1,corner_like,68,0.446755,0.052601,0.745707,0.275631,0.969432
27,1,-8,4,corner_like,121,0.628149,0.043292,0.476004,0.234054,0.913391
28,6,-7,2,corner_like,57,-0.202495,0.678197,0.702017,0.265448,0.912271
29,6,2,-1,corner_like,272,2.439848,-0.520797,-0.280448,0.826474,0.812129
30,6,4,-1,corner_like,204,2.253878,-0.382116,-0.299895,0.840997,0.730870
31,6,5,0,corner_like,115,0.739882,-0.023459,0.333424,0.439406,0.610441
32,6,-9,1,corner_like,50,0.300576,-0.309281,0.394234,0.308721,0.076808
33,2,7,-2,linear,44,1.891897,0.262054,-0.622416,1.798878,-0.267343
34,6,-3,-1,corner_like,184,-0.027718,-0.183651,0.270237,0.569285,-0.510417
35,-6,11,3,linear,33,2.090394,-0.285463,-0.566816,1.760825,-0.522709
36,0,-7,-2,linear,54,1.918047,-0.021959,-0.660049,1.797929,-0.561890
37,-7,11,3,linear,24,1.890515,-0.442425,-0.476430,1.787034,-0.815373
38,-8,-8,8,planar,24,2.467679,-0.583544,-1.338246,1.381321,-0.835433
39,3,-5,4,corner_like,96,-1.381671,0.264008,0.427853,0.293229,-0.983040
40,3,15,3,linear,33,2.002997,-1.168742,-0.362533,1.527343,-1.055621
41,-1,-11,8,planar,31,2.297167,0.079345,-1.398390,2.207994,-1.229872
42,6,-1,1,planar,153,1.625116,-0.345783,-1.208461,1.439198,-1.368325
43,12,-1,-1,linear,24,-0.757915,1.332310,-0.286426,1.733605,-1.445635
44,-2,-11,8,planar,36,2.186065,0.280527,-1.772851,2.230367,-1.536626
45,-1,-9,-2,linear,36,0.817730,-0.291391,-0.296789,1.799980,-1.570430
46,6,-6,2,corner_like,57,-2.873240,0.849927,0.669379,0.276234,-1.630168
47,-8,-7,8,planar,34,2.552528,-0.206404,-1.864226,2.123363,-1.641466
48,2,6,-2,planar,64,1.947717,0.231022,-1.599173,2.248597,-1.669031
49,-4,-8,8,linear,47,0.529016,-0.110801,-0.475427,1.748685,-1.805897
50,1,0,-2,planar,1343,2.107231,-0.903574,-1.333359,1.711814,-1.841516
51,-5,-8,8,planar,63,2.378941,-0.860544,-1.770326,1.825658,-2.077586
52,2,9,-2,linear,17,0.059580,0.085967,-0.425298,1.799996,-2.079746
53,-3,-11,8,linear,23,0.815285,-0.693363,-0.424051,1.782380,-2.084509
54,-6,-7,8,planar,67,1.980189,-0.100826,-1.764636,2.239911,-2.125184
55,6,5,-1,planar,110,1.287938,-0.575581,-1.324376,1.519736,-2.131755
56,-7,-8,8,planar,47,2.347275,-0.703696,-1.811958,2.046622,-2.215001
57,-6,-8,8,planar,59,2.198510,-0.537737,-1.848438,2.084665,-2.272331
58,-9,-3,8,planar,56,2.161980,-0.286712,-1.958385,2.295770,-2.378887
59,6,-5,2,planar,93,0.778354,-0.294179,-1.576083,1.325112,-2.417020
60,-12,4,8,planar,24,1.235079,-0.202958,-1.409452,2.065961,-2.443291
61,-1,-8,-2,linear,43,-0.158711,-0.222001,-0.287279,1.799968,-2.467960
62,-5,11,3,planar,49,2.437178,-0.322743,-2.033048,2.673449,-2.592061
63,-5,18,2,planar,15,1.783915,-0.269893,-1.872059,2.239806,-2.597843
64,0,-5,-2,planar,220,1.883999,0.411162,-2.120123,2.792309,-2.617271
65,-8,-6,8,planar,49,2.506183,-0.029921,-2.164459,2.949004,-2.637200
66,6,4,1,planar,212,2.534593,-0.467488,-2.078967,2.636007,-2.647870
67,-9,-6,8,planar,35,2.067452,-0.182771,-2.047650,2.591294,-2.754263
68,-7,-7,8,planar,62,2.491674,0.060277,-2.208318,3.143755,-2.800123
69,0,-9,-2,linear,40,-2.964928,2.538347,-0.610571,1.795616,-2.832767
70,-10,-5,8,planar,44,2.019771,0.483047,-2.223717,3.157181,-2.878080
71,6,-10,2,planar,28,-0.329778,0.200497,-1.221510,1.560678,-2.911468
72,0,-6,-2,planar,114,1.737275,0.125264,-2.097166,2.714325,-2.948951
73,6,6,0,planar,90,2.084648,-0.608723,-1.971368,2.483902,-2.979345
74,-5,-11,8,planar,25,1.629629,-0.845931,-1.611362,2.160159,-2.987822
75,6,1,3,planar,187,2.384408,-0.326409,-2.110407,2.968605,-3.021012
76,6,-13,2,planar,16,0.125303,-0.606153,-1.117443,1.482129,-3.080421
77,-8,11,3,planar,18,1.375410,-0.336233,-1.901090,2.248204,-3.110116
78,1,8,-2,linear,38,-0.999477,-0.010942,-0.315545,1.799975,-3.125940
79,-7,-6,8,planar,68,1.276408,-0.302595,-1.875180,2.245126,-3.146494
80,-6,6,8,planar,17,1.102214,-0.894037,-1.330159,2.058009,-3.179991
81,-11,-6,8,planar,22,0.219949,0.267453,-1.432797,2.245104,-3.190500
82,-10,-4,8,linear,21,-1.386594,0.350949,-0.405926,1.797766,-3.239337
83,-13,-7,8,planar,21,1.206538,-0.367763,-1.881242,2.226030,-3.268498
84,-9,-7,8,planar,38,1.318623,-0.421271,-1.928425,2.240466,-3.271538
85,6,7,0,planar,83,2.567656,-0.205521,-2.343721,3.312758,-3.294345
86,-2,-9,-2,linear,32,-1.600179,0.422794,-0.368168,1.799986,-3.345538
87,-4,11,3,planar,45,1.317601,-0.742328,-1.727386,2.219569,-3.371682
88,-3,11,3,planar,64,1.307673,-0.231798,-1.967509,2.484528,-3.376161
89,6,5,3,planar,16,0.528888,-0.233178,-1.522037,2.179103,-3.405431
90,-8,-11,8,planar,15,1.032702,-0.631710,-1.582690,2.232989,-3.414687
91,-2,11,7,linear,16,-1.048199,0.016146,-0.634146,1.794421,-3.460620
92,-6,18,2,planar,15,0.132859,0.132501,-1.628798,2.143985,-3.507424
93,4,-13,4,planar,16,-0.106566,-0.024300,-1.587534,1.811421,-3.529822
94,-1,-8,5,linear,25,-1.971618,0.803362,-0.584381,1.777671,-3.530308
95,-9,-8,8,planar,30,1.806275,-0.539505,-2.081496,2.729114,-3.543840
96,-3,11,6,corner_like,38,-5.463686,1.296316,0.859947,0.247664,-3.555087
97,6,-9,2,planar,29,-1.420914,0.750242,-1.368168,1.521034,-3.559874
98,-8,-5,8,planar,57,2.277379,-0.100359,-2.308372,3.477022,-3.608375
99,-9,-5,8,planar,55,1.716467,-0.173106,-2.180304,3.005556,-3.642499
100,6,3,3,planar,94,2.233836,0.196588,-2.429010,3.726754,-3.725340
101,0,-10,6,planar,38,1.107023,-0.516023,-1.995321,2.367192,-3.771513
102,5,4,4,planar,49,-1.360596,0.866625,-1.623958,1.702495,-3.820424
103,-10,-7,8,planar,30,2.382606,-0.587976,-2.268932,3.357766,-3.832068
104,5,-2,4,linear,37,-1.860668,0.238077,-0.506485,1.765911,-3.894987
105,3,-8,4,planar,46,0.126091,-0.125166,-1.829807,2.073317,-3.902200
106,6,-12,2,linear,17,-2.119796,0.505073,-0.529734,1.781613,-3.926070
107,4,0,4,planar,19,-0.865109,0.484267,-1.546537,2.003654,-3.931033
108,-9,3,8,planar,61,0.270454,-0.167686,-1.847649,2.207349,-3.952229
109,2,5,-2,planar,85,1.680668,0.074785,-2.300756,3.413528,-3.958830
110,6,2,0,planar,243,2.191695,-0.648710,-2.203626,3.308475,-3.969117
111,1,5,-2,planar,113,0.355003,-0.222435,-1.880672,2.249098,-3.997202
112,6,-16,1,planar,15,1.845921,-0.459323,-2.234404,3.180688,-4.028494
113,0,-2,-2,planar,1051,-0.129333,0.013010,-1.671070,2.246664,-4.034056
114,-7,-10,6,linear,39,-2.498895,0.862018,-0.627294,1.791688,-4.055859
115,6,10,1,planar,36,-0.088589,0.344291,-1.945686,2.366995,-4.056978
116,-4,18,2,planar,22,-0.018581,0.048612,-1.926324,2.240030,-4.136323
117,3,10,-2,linear,15,-1.888258,-0.168495,-0.282680,1.799998,-4.139431
118,1,1,-2,planar,1429,1.937996,0.354727,-2.699660,3.747548,-4.154484
119,-9,-4,8,linear,30,-1.946764,0.185571,-0.606293,1.796854,-4.164340
120,1,4,-2,planar,187,0.883217,-0.244074,-2.101096,2.726796,-4.188749
121,-10,-11,8,planar,15,1.627666,-1.011398,-2.089723,2.729132,-4.202586
122,6,4,3,planar,109,0.700840,-0.095069,-2.038759,2.779004,-4.211991
123,-11,-7,8,planar,17,1.727201,-0.872848,-2.145509,2.959465,-4.250621
124,-4,-11,8,planar,46,0.104736,-0.129101,-1.962204,2.289336,-4.275905
125,-5,9,8,linear,18,-2.989976,0.972858,-0.477904,1.797312,-4.292335
126,-6,7,8,planar,35,-0.008493,-0.010008,-1.949933,2.333677,-4.302111
127,6,0,3,planar,224,2.002238,-0.017869,-2.553232,3.735771,-4.304634
128,6,1,0,planar,291,1.884528,-0.698307,-2.271660,3.277988,-4.363427
129,1,2,-2,planar,667,1.801356,0.179746,-2.646744,3.748916,-4.414558
130,6,2,3,planar,170,2.076148,-0.066887,-2.697261,3.732272,-4.420271
131,-10,7,8,planar,24,-0.148873,-0.288840,-1.755641,2.233326,-4.426680
132,6,6,-1,planar,112,0.190616,-0.416770,-1.920454,2.286372,-4.432981
133,6,0,0,planar,195,-1.155408,0.157079,-1.575150,1.888848,-4.462327
134,0,-4,-2,planar,411,1.695486,0.102763,-2.578000,3.749001,-4.528751
135,0,-11,8,linear,24,-4.952595,2.492236,-0.296238,1.785379,-4.541976
136,6,-4,3,planar,74,0.680687,-0.417456,-2.088049,2.718940,-4.543757
137,6,4,0,planar,177,0.119373,-0.488512,-1.938275,2.270592,-4.578006
138,1,-6,-2,planar,104,0.334724,-0.424488,-2.030786,2.486581,-4.607130
139,6,11,-1,planar,47,0.055556,0.252246,-2.065992,2.872392,-4.630582
140,6,-1,3,planar,229,1.811054,-0.108764,-2.642808,3.737429,-4.677947
141,1,-10,6,linear,17,-4.407690,2.019756,-0.513773,1.799258,-4.700966
142,-9,6,8,planar,19,-1.072686,0.140713,-1.531548,2.244355,-4.707875
