rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,6,2,2,corner_like,161,2.762012,0.246134,1.643640,0.177331,4.474456
1,4,-1,-1,corner_like,310,2.601651,0.051998,1.846570,0.098329,4.401890
2,6,13,0,volumetric,36,2.835336,0.329004,1.287640,0.066275,4.385706
3,6,-2,1,corner_like,275,2.879421,0.398547,1.324281,0.296697,4.305552
4,6,3,2,corner_like,154,2.653074,0.183945,1.627626,0.175917,4.288729
5,4,-3,-1,volumetric,193,2.785246,0.287700,1.311320,0.099974,4.284292
6,6,14,1,corner_like,26,2.641705,-0.082174,1.737750,0.135444,4.161837
7,6,-3,1,corner_like,276,2.803596,0.081246,1.202337,0.314473,3.772706
8,6,0,2,corner_like,147,2.253954,-0.006639,1.619841,0.110702,3.756455
9,6,1,2,corner_like,206,2.683688,0.253136,1.152963,0.343961,3.745826
10,6,-3,2,corner_like,169,2.290833,0.011684,1.479872,0.160407,3.621982
11,6,12,-1,corner_like,35,2.575320,-0.056109,1.261586,0.280110,3.500687
12,6,-2,0,corner_like,160,2.104318,-0.215324,1.706101,0.099415,3.495679
13,6,-4,2,corner_like,123,2.416321,-0.096328,1.357226,0.205314,3.471905
14,1,-1,-2,corner_like,1646,1.960966,-0.324566,1.920799,0.108705,3.448494
15,4,-2,-1,volumetric,168,2.395232,0.131032,1.113681,0.243041,3.396904
16,6,-1,2,corner_like,141,2.038183,-0.012670,1.515929,0.146462,3.394980
17,6,6,2,corner_like,60,2.121384,-0.056270,1.484957,0.172401,3.377671
18,6,4,2,corner_like,149,2.083900,-0.048805,1.380615,0.186367,3.229344
19,6,3,-1,corner_like,213,2.185997,0.023122,1.232262,0.292489,3.148893
20,6,-3,0,corner_like,288,2.441887,-0.182950,1.181891,0.316488,3.124340
21,6,5,2,volumetric,58,2.172327,-0.256479,1.088849,0.089530,2.915167
22,6,-2,3,corner_like,197,1.951188,-0.028907,1.244362,0.313858,2.852786
23,6,4,-1,corner_like,204,2.253878,0.025324,0.982424,0.420499,2.841128
24,6,2,-1,corner_like,272,2.439848,-0.310652,0.995018,0.413237,2.710977
25,6,8,2,corner_like,38,1.648937,-0.752185,1.764322,0.095933,2.565141
26,6,-2,2,volumetric,201,2.289798,-0.178990,0.617368,0.223080,2.505097
27,6,-2,-1,corner_like,68,0.446755,0.048354,1.721568,0.137815,2.078861
28,6,7,2,volumetric,35,1.004453,-0.146068,1.148169,0.115523,1.891031
29,6,5,0,corner_like,115,0.739882,-0.218745,1.429786,0.219703,1.731219
30,1,-8,4,corner_like,121,0.628149,-0.365476,1.538468,0.117027,1.684114
31,6,-9,1,corner_like,50,0.300576,-0.411111,1.480400,0.154361,1.215505
32,6,-7,2,corner_like,57,-0.202495,-0.187491,1.695174,0.132724,1.172464
33,6,-3,-1,corner_like,184,-0.027718,-0.227208,1.381568,0.284642,0.841999
34,0,-7,-2,linear,54,1.918047,0.524386,-0.792966,0.898964,0.750503
35,2,7,-2,linear,44,1.891897,0.355112,-0.766051,0.899439,0.581519
36,-6,11,3,linear,33,2.090394,0.052787,-0.727696,0.880412,0.535072
37,-7,11,3,linear,24,1.890515,0.111778,-0.662199,0.893517,0.446578
38,3,-5,4,corner_like,96,-1.381671,-0.079423,1.502556,0.146615,-0.105152
39,3,15,3,linear,33,2.002997,-0.846830,-0.585408,0.763672,-0.192913
40,-1,-11,8,planar,31,2.297167,0.286904,-1.785764,1.103997,-0.305690
41,-8,-8,8,planar,24,2.467679,-0.343175,-1.751859,0.690660,-0.318016
42,-8,-7,8,planar,34,2.552528,0.257942,-2.119124,1.061682,-0.370336
43,-2,-11,8,planar,36,2.186065,0.412483,-2.052598,1.115183,-0.569234
44,-1,-9,-2,linear,36,0.817730,-0.055256,-0.533422,0.899990,-0.670937
45,6,-6,2,corner_like,57,-2.873240,0.620860,1.671730,0.138117,-0.718766
46,2,6,-2,planar,64,1.947717,0.362791,-1.928021,1.124299,-0.741811
47,-6,-8,8,planar,59,2.198510,0.112727,-2.111539,1.042333,-0.842635
48,-5,-8,8,planar,63,2.378941,-0.278297,-2.058802,0.912829,-0.870987
49,6,-1,1,planar,153,1.625116,-0.173184,-1.658976,0.719599,-0.926642
50,-7,-8,8,planar,47,2.347275,-0.197169,-2.085409,1.023311,-0.958614
51,1,0,-2,planar,1343,2.107231,-0.464994,-1.746511,0.855907,-0.960181
52,6,4,1,planar,212,2.534593,-0.004734,-2.281382,1.318004,-1.069527
53,-8,-6,8,planar,49,2.506183,0.193460,-2.333408,1.474502,-1.108266
54,-6,-7,8,planar,67,1.980189,0.070323,-2.046457,1.119955,-1.115900
55,-5,11,3,planar,49,2.437178,-0.012929,-2.240685,1.336724,-1.153160
56,-4,-8,8,linear,47,0.529016,-0.167394,-0.662852,0.874342,-1.175573
57,-7,-7,8,planar,62,2.491674,0.268030,-2.364389,1.571878,-1.176563
58,-9,-3,8,planar,56,2.161980,-0.073873,-2.185482,1.147885,-1.245260
59,-3,-11,8,linear,23,0.815285,-0.546902,-0.624951,0.891190,-1.247759
60,0,-5,-2,planar,220,1.883999,0.545260,-2.300117,1.396154,-1.267012
