vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty
-23,-8,0,-22.500000,-7.500000,0.500000,19,planar,0.090771,0.069614,0.000346,0.233085,0.763100,0.003815,0.996185,0.012983,2.114699,13.025795,0.380526,-10.911096,0.214352,1.765736,1.065565,1.551384
-23,-7,0,-22.500000,-6.500000,0.500000,19,planar,0.121911,0.068535,0.000153,0.437833,0.560914,0.001252,0.998748,0.010846,1.998897,18.651414,0.411487,-16.652517,0.237646,2.036820,1.119367,1.799175
-23,-6,0,-22.500000,-5.500000,0.500000,18,planar,0.083550,0.069191,0.000119,0.171855,0.826720,0.001425,0.998575,0.008829,1.964744,18.760582,0.367994,-16.795839,0.277521,2.001241,1.240151,1.723721
-13,-7,8,-12.500000,-6.500000,8.500000,21,planar,0.107561,0.055736,0.000688,0.481822,0.511785,0.006392,0.993608,0.016033,2.267221,1.060683,0.345665,1.206538,0.282610,0.165474,0.879146,-0.117135
-12,-7,8,-11.500000,-6.500000,8.500000,17,planar,0.077791,0.055834,0.001752,0.282253,0.695231,0.022516,0.977484,0.019668,2.452971,1.948624,0.336023,0.504347,0.284333,0.294902,1.210751,0.010569
-12,4,8,-11.500000,4.500000,8.500000,24,planar,0.118571,0.036952,0.004029,0.688355,0.277663,0.033982,0.966018,0.026038,2.651181,1.416102,0.368941,1.235079,0.408456,0.216628,1.396940,-0.191828
-12,7,8,-11.500000,7.500000,8.500000,19,linear,0.152729,0.030748,0.000152,0.798673,0.200332,0.000995,0.999005,0.008937,1.983723,5.841660,0.415796,-3.857937,0.323305,0.670165,1.319500,0.346860
-11,-8,8,-10.500000,-7.500000,8.500000,15,linear,0.059676,0.003399,0.000001,0.943045,0.056946,0.000009,0.999991,0.000477,1.639609,12.025728,0.222787,-10.386119,0.237772,1.798073,0.980869,1.560301
-11,-7,8,-10.500000,-6.500000,8.500000,17,planar,0.086557,0.058988,0.001019,0.318508,0.669716,0.011775,0.988225,0.017329,2.330987,0.603786,0.328495,1.727201,0.417561,0.462526,1.002020,0.044965
-11,-6,8,-10.500000,-5.500000,8.500000,22,planar,0.097983,0.024525,0.000128,0.749703,0.248991,0.001306,0.998694,0.006749,1.970307,1.750358,0.323792,0.219949,0.264906,0.210373,1.101828,-0.054532
