vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty
-13,-7,8,-12.500000,-6.500000,8.500000,21,planar,0.107561,0.055736,0.000688,0.481822,0.511785,0.006392,0.993608,0.016033,2.267221,1.060683,0.345665,1.206538,1.147401,0.779637,2.130658,-0.367763
-12,4,8,-11.500000,4.500000,8.500000,24,planar,0.118571,0.036952,0.004029,0.688355,0.277663,0.033982,0.966018,0.026038,2.651181,1.416102,0.368941,1.235079,1.006296,0.803338,2.006296,-0.202958
-11,-6,8,-10.500000,-5.500000,8.500000,22,planar,0.097983,0.024525,0.000128,0.749703,0.248991,0.001306,0.998694,0.006749,1.970307,1.750358,0.323792,0.219949,0.506578,0.774031,1.500286,0.267453
-11,3,8,-10.500000,3.500000,8.500000,23,linear,0.083829,0.018110,0.000353,0.783969,0.211824,0.004206,0.995794,0.008120,2.101072,26.975548,0.271101,-24.874476,0.853589,5.187791,1.666052,4.334202
-11,4,8,-10.500000,4.500000,8.500000,22,planar,0.100279,0.058589,0.000337,0.415742,0.580901,0.003357,0.996643,0.012553,2.124063,10.126959,0.374204,-8.002896,0.588108,1.823737,1.562911,1.235630
-10,-7,8,-9.500000,-6.500000,8.500000,30,planar,0.112104,0.085397,0.001798,0.238230,0.745728,0.016041,0.983959,0.025821,2.534816,0.152210,0.392609,2.382606,1.017655,0.429679,1.891066,-0.587976
-10,-6,8,-9.500000,-5.500000,8.500000,37,planar,0.088309,0.071825,0.000416,0.186671,0.808622,0.004707,0.995293,0.013814,2.207362,0.849358,0.380824,1.358003,0.589200,0.053039,1.559056,-0.536160
-10,-5,8,-9.500000,-4.500000,8.500000,44,planar,0.091852,0.064578,0.000153,0.296933,0.701405,0.001663,0.998337,0.009676,2.058602,0.038831,0.378365,2.019771,0.331086,0.814133,1.325470,0.483047
-10,-4,8,-9.500000,-3.500000,8.500000,21,linear,0.112533,0.010218,0.000084,0.909197,0.090058,0.000745,0.999255,0.004585,1.885118,3.271712,0.329311,-1.386594,0.405540,0.756488,1.384525,0.350949
-10,2,8,-9.500000,2.500000,8.500000,25,planar,0.073041,0.028606,0.000470,0.608355,0.385211,0.006434,0.993566,0.009939,2.181526,5.511344,0.273195,-3.329818,0.886527,2.528711,1.828954,1.642184
-10,3,8,-9.500000,3.500000,8.500000,32,planar,0.099985,0.076343,0.001339,0.236457,0.750156,0.013387,0.986613,0.021699,2.469873,2.783462,0.391217,-0.313590,0.668139,0.932764,1.668139,0.264625
-10,4,8,-9.500000,4.500000,8.500000,41,planar,0.103746,0.069731,0.000671,0.327874,0.665656,0.006470,0.993530,0.016934,2.319953,3.355142,0.399970,-1.035190,0.525343,0.740367,1.519151,0.215023
-10,7,8,-9.500000,7.500000,8.500000,24,planar,0.108249,0.047841,0.000481,0.558043,0.437511,0.004446,0.995554,0.013559,2.199654,2.348527,0.376477,-0.148873,0.760798,0.471958,1.748921,-0.288840
-9,-8,8,-8.500000,-7.500000,8.500000,30,planar,0.099861,0.064045,0.001020,0.358658,0.631129,0.010213,0.989787,0.018684,2.396978,0.590703,0.380940,1.806275,0.583258,0.043754,1.535010,-0.539505
-9,-7,8,-8.500000,-6.500000,8.500000,38,planar,0.109446,0.058700,0.000278,0.463660,0.533797,0.002542,0.997458,0.012137,2.134201,0.815578,0.386595,1.318623,0.526413,0.105143,1.486088,-0.421271
-9,-6,8,-8.500000,-5.500000,8.500000,35,planar,0.099501,0.061179,0.000705,0.385146,0.607768,0.007086,0.992914,0.016252,2.319279,0.251828,0.380706,2.067452,0.649409,0.466638,1.649409,-0.182771
-9,-5,8,-8.500000,-4.500000,8.500000,55,planar,0.084138,0.056991,0.000106,0.322652,0.676084,0.001264,0.998736,0.007989,2.029535,0.313069,0.360261,1.716467,0.549480,0.376374,1.531651,-0.173106
-9,-4,8,-8.500000,-3.500000,8.500000,30,linear,0.096539,0.019886,0.000101,0.794007,0.204945,0.001049,0.998951,0.005793,1.966011,3.912775,0.308248,-1.946764,0.561091,0.746662,1.429170,0.185571
-9,-3,8,-8.500000,-2.500000,8.500000,56,planar,0.113590,0.064439,0.000977,0.432699,0.558703,0.008598,0.991402,0.019264,2.425972,0.263992,0.388533,2.161980,0.730200,0.443488,1.727383,-0.286712
-9,1,8,-8.500000,1.500000,8.500000,61,planar,0.075515,0.039316,0.000294,0.479363,0.516743,0.003895,0.996105,0.009558,2.153506,4.893866,0.316679,-2.740360,0.605281,1.423923,1.594296,0.818643
-9,2,8,-8.500000,2.500000,8.500000,61,planar,0.111485,0.070633,0.000525,0.366432,0.628859,0.004709,0.995291,0.016050,2.283364,3.378024,0.401604,-1.094661,0.415503,0.438950,1.406825,0.023447
-9,3,8,-8.500000,3.500000,8.500000,61,planar,0.118346,0.060081,0.001207,0.492326,0.497479,0.010195,0.989805,0.020471,2.480710,2.210256,0.390726,0.270454,0.670429,0.502743,1.645341,-0.167686
-9,4,8,-8.500000,4.500000,8.500000,62,planar,0.097674,0.084721,0.001514,0.132612,0.851889,0.015498,0.984502,0.023225,2.538776,2.148694,0.401519,0.390081,0.787834,0.584662,1.787834,-0.203172
