rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,6,2,2,corner_like,161,2.762012,0.502553,1.643640,0.177331,4.730874
1,4,-1,-1,corner_like,310,2.601651,0.341700,1.846570,0.098329,4.691592
2,6,13,0,volumetric,36,2.835336,0.579221,1.287640,0.066275,4.635923
3,6,14,1,corner_like,26,2.641705,0.263622,1.737750,0.135444,4.507633
4,6,3,2,corner_like,154,2.653074,0.394962,1.627626,0.175917,4.499746
5,4,-3,-1,volumetric,193,2.785246,0.496144,1.311320,0.099974,4.492737
6,6,-2,1,corner_like,275,2.879421,0.579888,1.324281,0.296697,4.486893
7,6,-3,1,corner_like,276,2.803596,0.401076,1.202337,0.314473,4.092536
8,6,0,2,corner_like,147,2.253954,0.235433,1.619841,0.110702,3.998527
9,6,1,2,corner_like,206,2.683688,0.444453,1.152963,0.343961,3.937143
10,6,-3,2,corner_like,169,2.290833,0.265046,1.479872,0.160407,3.875344
11,6,-2,0,corner_like,160,2.104318,0.154695,1.706101,0.099415,3.865698
12,6,12,-1,corner_like,35,2.575320,0.287415,1.261586,0.280110,3.844211
13,1,-1,-2,corner_like,1646,1.960966,0.054810,1.920799,0.108705,3.827870
14,6,-4,2,corner_like,123,2.416321,0.238341,1.357226,0.205314,3.806575
15,6,-1,2,corner_like,141,2.038183,0.247625,1.515929,0.146462,3.655275
16,6,6,2,corner_like,60,2.121384,0.217407,1.484957,0.172401,3.651347
17,4,-2,-1,volumetric,168,2.395232,0.277399,1.113681,0.243041,3.543271
18,6,4,2,corner_like,149,2.083900,0.216221,1.380615,0.186367,3.494369
19,6,-3,0,corner_like,288,2.441887,0.170114,1.181891,0.316488,3.477404
20,6,3,-1,corner_like,213,2.185997,0.234889,1.232262,0.292489,3.360659
21,6,5,2,volumetric,58,2.172327,0.087700,1.088849,0.089530,3.259345
22,6,2,-1,corner_like,272,2.439848,0.100881,0.995018,0.413237,3.122510
23,6,4,-1,corner_like,204,2.253878,0.287798,0.982424,0.420499,3.103602
24,6,8,2,corner_like,38,1.648937,-0.260119,1.764322,0.095933,3.057207
