rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,6,-2,1,corner_like,275,2.879421,0.579888,0.000000,0.000000,3.459309
1,6,13,0,volumetric,36,2.835336,0.579221,0.000000,0.000000,3.414557
2,4,-3,-1,volumetric,193,2.785246,0.496144,0.000000,0.000000,3.281391
3,6,2,2,corner_like,161,2.762012,0.502553,0.000000,0.000000,3.264565
4,6,-3,1,corner_like,276,2.803596,0.401076,0.000000,0.000000,3.204672
5,-8,-7,8,planar,34,2.552528,0.591343,0.000000,0.000000,3.143871
6,6,1,2,corner_like,206,2.683688,0.444453,0.000000,0.000000,3.128141
7,6,3,2,corner_like,154,2.653074,0.394962,0.000000,0.000000,3.048036
8,-7,-7,8,planar,62,2.491674,0.539643,0.000000,0.000000,3.031317
9,-8,-6,8,planar,49,2.506183,0.512381,0.000000,0.000000,3.018565
10,6,7,0,planar,83,2.567656,0.401938,0.000000,0.000000,2.969595
11,4,-1,-1,corner_like,310,2.601651,0.341700,0.000000,0.000000,2.943351
12,6,14,1,corner_like,26,2.641705,0.263622,0.000000,0.000000,2.905327
13,6,12,-1,corner_like,35,2.575320,0.287415,0.000000,0.000000,2.862736
14,6,4,1,planar,212,2.534593,0.317116,0.000000,0.000000,2.851709
15,-1,-11,8,planar,31,2.297167,0.552828,0.000000,0.000000,2.849994
16,-2,-11,8,planar,36,2.186065,0.636558,0.000000,0.000000,2.822622
17,6,3,3,planar,94,2.233836,0.585455,0.000000,0.000000,2.819291
18,-5,11,3,planar,49,2.437178,0.279555,0.000000,0.000000,2.716732
19,-10,-5,8,planar,44,2.019771,0.673322,0.000000,0.000000,2.693093
20,6,1,3,planar,187,2.384408,0.298405,0.000000,0.000000,2.682813
21,4,-2,-1,volumetric,168,2.395232,0.277399,0.000000,0.000000,2.672631
22,-8,-5,8,planar,57,2.277379,0.395074,0.000000,0.000000,2.672453
23,6,-4,2,corner_like,123,2.416321,0.238341,0.000000,0.000000,2.654663
24,6,-3,0,corner_like,288,2.441887,0.170114,0.000000,0.000000,2.612002
25,2,6,-2,planar,64,1.947717,0.644994,0.000000,0.000000,2.592711
26,6,-3,2,corner_like,169,2.290833,0.265046,0.000000,0.000000,2.555879
27,-8,-8,8,planar,24,2.467679,0.074503,0.000000,0.000000,2.542182
28,6,4,-1,corner_like,204,2.253878,0.287798,0.000000,0.000000,2.541676
29,6,2,-1,corner_like,272,2.439848,0.100881,0.000000,0.000000,2.540729
30,-5,-8,8,planar,63,2.378941,0.130385,0.000000,0.000000,2.509326
31,-6,-8,8,planar,59,2.198510,0.308409,0.000000,0.000000,2.506919
32,-6,11,3,linear,33,2.090394,0.413912,0.000000,0.000000,2.504306
33,6,0,2,corner_like,147,2.253954,0.235433,0.000000,0.000000,2.489387
34,1,1,-2,planar,1429,1.937996,0.550423,0.000000,0.000000,2.488419
35,-7,-8,8,planar,47,2.347275,0.125149,0.000000,0.000000,2.472424
36,-10,-7,8,planar,30,2.382606,0.083641,0.000000,0.000000,2.466246
37,-9,-6,8,planar,35,2.067452,0.392818,0.000000,0.000000,2.460270
38,2,7,-2,linear,44,1.891897,0.563695,0.000000,0.000000,2.455592
39,-9,-3,8,planar,56,2.161980,0.290201,0.000000,0.000000,2.452181
40,6,2,3,planar,170,2.076148,0.365297,0.000000,0.000000,2.441444
41,0,-7,-2,linear,54,1.918047,0.522916,0.000000,0.000000,2.440963
42,-6,-7,8,planar,67,1.980189,0.456176,0.000000,0.000000,2.436365
43,6,-2,2,volumetric,201,2.289798,0.144574,0.000000,0.000000,2.434372
44,6,3,-1,corner_like,213,2.185997,0.234889,0.000000,0.000000,2.420886
45,0,-5,-2,planar,220,1.883999,0.533118,0.000000,0.000000,2.417117
46,6,2,0,planar,243,2.191695,0.195180,0.000000,0.000000,2.386875
47,6,0,3,planar,224,2.002238,0.366324,0.000000,0.000000,2.368562
48,6,6,2,corner_like,60,2.121384,0.217407,0.000000,0.000000,2.338791
49,6,4,2,corner_like,149,2.083900,0.216221,0.000000,0.000000,2.300121
50,6,-1,2,corner_like,141,2.038183,0.247625,0.000000,0.000000,2.285808
51,6,5,2,volumetric,58,2.172327,0.087700,0.000000,0.000000,2.260026
52,6,-2,0,corner_like,160,2.104318,0.154695,0.000000,0.000000,2.259012
53,1,2,-2,planar,667,1.801356,0.406655,0.000000,0.000000,2.208011
54,-7,11,3,linear,24,1.890515,0.313313,0.000000,0.000000,2.203829
55,0,-6,-2,planar,114,1.737275,0.428200,0.000000,0.000000,2.165474
56,6,6,0,planar,90,2.084648,0.068242,0.000000,0.000000,2.152890
57,6,-1,3,planar,229,1.811054,0.299883,0.000000,0.000000,2.110937
58,6,-2,3,corner_like,197,1.951188,0.144627,0.000000,0.000000,2.095815
59,2,5,-2,planar,85,1.680668,0.408148,0.000000,0.000000,2.088816
60,-9,-5,8,planar,55,1.716467,0.371026,0.000000,0.000000,2.087493
61,6,1,0,planar,291,1.884528,0.162033,0.000000,0.000000,2.046561
62,0,-4,-2,planar,411,1.695486,0.346872,0.000000,0.000000,2.042359
63,1,-1,-2,corner_like,1646,1.960966,0.054810,0.000000,0.000000,2.015775
64,1,0,-2,planar,1343,2.107231,-0.105102,0.000000,0.000000,2.002129
65,-4,11,7,planar,27,1.770169,0.134971,0.000000,0.000000,1.905140
66,0,-3,-2,planar,923,1.573645,0.262371,0.000000,0.000000,1.836016
67,-9,-8,8,planar,30,1.806275,-0.011390,0.000000,0.000000,1.794885
68,3,15,3,linear,33,2.002997,-0.233469,0.000000,0.000000,1.769528
69,1,-2,-2,planar,1447,1.490530,0.227400,0.000000,0.000000,1.717930
70,1,3,-2,planar,331,1.485330,0.215457,0.000000,0.000000,1.700787
71,6,-1,1,planar,153,1.625116,0.037384,0.000000,0.000000,1.662500
72,-5,-11,8,planar,25,1.629629,-0.006446,0.000000,0.000000,1.623183
73,2,4,-2,planar,147,1.348799,0.203966,0.000000,0.000000,1.552765
74,-9,-7,8,planar,38,1.318623,0.098333,0.000000,0.000000,1.416956
75,-10,-6,8,planar,37,1.358003,0.044989,0.000000,0.000000,1.402992
76,-7,-6,8,planar,68,1.276408,0.125101,0.000000,0.000000,1.401509
77,6,8,2,corner_like,38,1.648937,-0.260119,0.000000,0.000000,1.388818
78,6,1,1,planar,266,1.120655,0.131219,0.000000,0.000000,1.251874
79,-4,11,3,planar,45,1.317601,-0.093135,0.000000,0.000000,1.224466
80,1,-3,-2,planar,676,1.059323,0.053136,0.000000,0.000000,1.112459
81,-13,-7,8,planar,21,1.206538,-0.117135,0.000000,0.000000,1.089402
82,0,-10,6,planar,38,1.107023,-0.047774,0.000000,0.000000,1.059249
83,-3,11,3,planar,64,1.307673,-0.256570,0.000000,0.000000,1.051103
84,-12,4,8,planar,24,1.235079,-0.191828,0.000000,0.000000,1.043251
85,2,3,-2,planar,245,0.945606,0.072873,0.000000,0.000000,1.018479
86,6,5,-1,planar,110,1.287938,-0.296136,0.000000,0.000000,0.991802
87,1,4,-2,planar,187,0.883217,0.036829,0.000000,0.000000,0.920046
88,6,3,0,planar,202,1.314311,-0.396217,0.000000,0.000000,0.918094
89,-1,-9,-2,linear,36,0.817730,0.059696,0.000000,0.000000,0.877426
90,6,-3,3,planar,150,1.025098,-0.202972,0.000000,0.000000,0.822126
91,6,5,0,corner_like,115,0.739882,0.072948,0.000000,0.000000,0.812830
92,1,-4,-2,planar,342,0.783094,0.001869,0.000000,0.000000,0.784962
93,6,7,2,volumetric,35,1.004453,-0.299767,0.000000,0.000000,0.704686
94,6,-5,2,planar,93,0.778354,-0.166741,0.000000,0.000000,0.611614
95,1,-8,4,corner_like,121,0.628149,-0.121920,0.000000,0.000000,0.506229
96,6,-4,3,planar,74,0.680687,-0.212394,0.000000,0.000000,0.468294
97,6,4,3,planar,109,0.700840,-0.261104,0.000000,0.000000,0.439736
98,1,-5,-2,planar,171,0.486534,-0.059279,0.000000,0.000000,0.427256
99,-4,-8,8,linear,47,0.529016,-0.157137,0.000000,0.000000,0.371879
100,-9,4,8,planar,62,0.390081,-0.063213,0.000000,0.000000,0.326869
101,-3,-11,8,linear,23,0.815285,-0.498264,0.000000,0.000000,0.317020
102,1,5,-2,planar,113,0.355003,-0.040040,0.000000,0.000000,0.314963
103,6,-2,-1,corner_like,68,0.446755,-0.139253,0.000000,0.000000,0.307502
104,-9,3,8,planar,61,0.270454,-0.089913,0.000000,0.000000,0.180542
105,1,-6,-2,planar,104,0.334724,-0.155354,0.000000,0.000000,0.179371
106,-11,-6,8,planar,22,0.219949,-0.054532,0.000000,0.000000,0.165417
107,-4,-11,8,planar,46,0.104736,0.033045,0.000000,0.000000,0.137781
108,6,10,1,planar,36,-0.088589,0.212601,0.000000,0.000000,0.124012
109,2,2,-2,planar,411,0.268330,-0.170809,0.000000,0.000000,0.097522
110,6,-5,3,planar,72,0.149357,-0.072014,0.000000,0.000000,0.077343
111,6,-9,1,corner_like,50,0.300576,-0.247788,0.000000,0.000000,0.052788
112,3,-8,4,planar,46,0.126091,-0.166114,0.000000,0.000000,-0.040023
113,6,6,-1,planar,112,0.190616,-0.234719,0.000000,0.000000,-0.044103
114,6,4,0,planar,177,0.119373,-0.170842,0.000000,0.000000,-0.051469
115,6,11,-1,planar,47,0.055556,-0.108625,0.000000,0.000000,-0.053069
116,-4,18,2,planar,22,-0.018581,-0.099288,0.000000,0.000000,-0.117869
117,-10,7,8,planar,24,-0.148873,-0.050389,0.000000,0.000000,-0.199262
118,-10,3,8,planar,32,-0.313590,0.100535,0.000000,0.000000,-0.213055
119,6,-3,-1,corner_like,184,-0.027718,-0.258785,0.000000,0.000000,-0.286503
120,6,-10,2,planar,28,-0.329778,-0.046794,0.000000,0.000000,-0.376572
121,-6,7,8,planar,35,-0.008493,-0.386091,0.000000,0.000000,-0.394584
122,-8,4,8,planar,55,-0.640073,0.242670,0.000000,0.000000,-0.397403
123,6,-6,1,planar,124,-0.489063,0.073567,0.000000,0.000000,-0.415496
124,-1,-8,-2,linear,43,-0.158711,-0.273302,0.000000,0.000000,-0.432013
125,0,-2,-2,planar,1051,-0.129333,-0.305776,0.000000,0.000000,-0.435109
126,12,-1,-1,linear,24,-0.757915,0.301880,0.000000,0.000000,-0.456035
127,6,-7,2,corner_like,57,-0.202495,-0.280514,0.000000,0.000000,-0.483009
128,-1,-7,-2,planar,98,-0.450862,-0.098150,0.000000,0.000000,-0.549012
129,1,6,-2,planar,63,-0.266133,-0.314434,0.000000,0.000000,-0.580568
130,6,-5,-1,planar,137,-0.545863,-0.051205,0.000000,0.000000,-0.597068
131,-7,-11,8,planar,22,-0.820419,0.206540,0.000000,0.000000,-0.613879
132,2,1,-2,planar,686,-0.532644,-0.234024,0.000000,0.000000,-0.766668
133,-10,4,8,planar,41,-1.035190,0.213694,0.000000,0.000000,-0.821496
134,-9,2,8,planar,61,-1.094661,0.208616,0.000000,0.000000,-0.886045
