rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,5,11,0,volumetric,44,2.736086,-0.072995,0.936903,0.228977,3.371017
1,5,6,1,corner_like,128,2.645859,0.300631,0.154243,0.353282,2.747452
2,0,-9,3,corner_like,112,2.899168,0.168849,0.134083,0.473963,2.728136
3,3,-2,-1,corner_like,267,2.320750,-0.239075,0.639338,0.141562,2.579451
4,5,7,1,corner_like,78,2.778264,0.398938,-0.127324,0.730378,2.319500
5,5,2,-1,corner_like,333,2.894740,0.258485,-0.167293,0.694416,2.291517
6,1,-9,3,corner_like,87,2.745596,-0.012290,0.018623,0.619208,2.132721
7,5,-2,1,corner_like,379,2.481125,0.222525,-0.113593,0.656927,1.933130
8,5,1,1,corner_like,380,2.662189,0.333654,-0.453391,0.886237,1.656216
9,-3,9,6,corner_like,50,1.696705,-0.486712,0.571306,0.152128,1.629171
10,3,-1,-1,corner_like,291,1.580807,-0.370603,0.718181,0.302593,1.625792
11,3,-7,3,corner_like,60,1.811204,-0.345456,0.668454,0.581454,1.552748
12,3,-3,-1,corner_like,171,0.510717,-0.054205,1.126980,0.125961,1.457531
13,-1,-9,3,corner_like,79,1.812815,-0.633021,0.778294,0.515880,1.442209
14,2,6,3,corner_like,87,2.392855,-0.129146,-0.209301,0.718312,1.336096
15,2,-5,3,corner_like,125,2.272443,-0.201570,-0.154130,0.678279,1.238466
16,2,-9,3,planar,51,2.834688,0.593802,-1.554778,1.150744,0.722968
17,5,-3,-1,corner_like,190,0.258112,-0.141262,0.651693,0.298383,0.470161
18,5,-1,1,corner_like,189,0.062060,-0.192243,0.743153,0.288021,0.324949
19,5,-3,1,corner_like,324,0.944346,-0.419005,0.184415,0.404638,0.305117
20,-3,-9,3,corner_like,66,-0.173748,-0.239060,0.483846,0.312504,-0.241467
21,5,-11,1,corner_like,38,-1.037092,0.280506,0.704739,0.238844,-0.290692
22,5,10,-1,planar,52,2.345657,-0.247383,-1.289548,1.232124,-0.423397
23,1,-7,3,planar,130,2.703398,0.134777,-1.594161,1.673998,-0.429984
24,5,3,1,planar,258,2.804962,0.095651,-1.703653,1.768488,-0.571529
25,2,-7,3,planar,108,2.394989,-0.304110,-1.399687,1.317172,-0.625979
26,5,-2,-1,corner_like,100,-1.335797,0.035908,0.899689,0.271386,-0.671586
27,1,6,3,planar,75,2.687235,0.146424,-1.671703,1.848062,-0.686106
28,5,4,1,planar,194,2.385221,-0.142092,-1.743930,1.254417,-0.755218
29,-4,6,-2,linear,37,1.362297,0.009694,-0.377658,1.799978,-0.805644
30,5,4,-1,planar,211,2.875713,0.311235,-1.953956,2.058271,-0.825279
31,0,-7,3,planar,163,2.749215,0.049795,-1.760770,1.969185,-0.930946
32,3,4,3,planar,121,1.968160,-0.024478,-1.679182,1.334079,-1.069580
33,1,-5,3,planar,145,2.747739,0.175799,-1.946536,2.061928,-1.084927
34,5,-2,0,planar,312,2.517412,0.061557,-1.875597,1.871848,-1.168477
