rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,total_score
0,5,11,0,volumetric,44,2.736086,0.121456,0.936903,0.228977,3.565468
1,0,-9,3,corner_like,112,2.899168,0.441137,0.134083,0.473963,3.000425
2,3,-2,-1,corner_like,267,2.320750,-0.049419,0.639338,0.141562,2.769107
3,5,6,1,corner_like,128,2.645859,0.146308,0.154243,0.353282,2.593128
4,1,-9,3,corner_like,87,2.745596,0.291562,0.018623,0.619208,2.436573
5,5,2,-1,corner_like,333,2.894740,0.368468,-0.167293,0.694416,2.401500
6,5,7,1,corner_like,78,2.778264,0.122853,-0.127324,0.730378,2.043415
7,5,-2,1,corner_like,379,2.481125,0.230351,-0.113593,0.656927,1.940956
8,-3,9,6,corner_like,50,1.696705,-0.381173,0.571306,0.152128,1.734710
9,-1,-9,3,corner_like,79,1.812815,-0.521965,0.778294,0.515880,1.553265
10,3,-1,-1,corner_like,291,1.580807,-0.443580,0.718181,0.302593,1.552816
11,3,-3,-1,corner_like,171,0.510717,-0.031027,1.126980,0.125961,1.480709
12,3,-7,3,corner_like,60,1.811204,-0.417909,0.668454,0.581454,1.480295
13,2,6,3,corner_like,87,2.392855,-0.051973,-0.209301,0.718312,1.413269
14,2,-5,3,corner_like,125,2.272443,-0.151503,-0.154130,0.678279,1.288532
15,5,1,1,corner_like,380,2.662189,-0.049045,-0.453391,0.886237,1.273516
16,5,-1,1,corner_like,189,0.062060,0.099396,0.743153,0.288021,0.616588
17,5,-3,-1,corner_like,190,0.258112,-0.114351,0.651693,0.298383,0.497072
18,5,-3,1,corner_like,324,0.944346,-0.275473,0.184415,0.404638,0.448649
19,-3,-9,3,corner_like,66,-0.173748,0.157412,0.483846,0.312504,0.155006
20,2,-9,3,planar,51,2.834688,-0.112395,-1.554778,1.150744,0.016771
21,5,-11,1,corner_like,38,-1.037092,0.424514,0.704739,0.238844,-0.146683
22,5,10,-1,planar,52,2.345657,-0.112359,-1.289548,1.232124,-0.288373
23,1,-7,3,planar,130,2.703398,0.204040,-1.594161,1.673998,-0.360721
24,2,-7,3,planar,108,2.394989,-0.075841,-1.399687,1.317172,-0.397711
25,5,-2,-1,corner_like,100,-1.335797,0.299412,0.899689,0.271386,-0.408082
26,5,3,1,planar,258,2.804962,0.143599,-1.703653,1.768488,-0.523581
27,0,-7,3,planar,163,2.749215,0.264268,-1.760770,1.969185,-0.716473
28,5,4,-1,planar,211,2.875713,0.405983,-1.953956,2.058271,-0.730530
29,-4,6,-2,linear,37,1.362297,0.062293,-0.377658,1.799978,-0.753046
30,5,4,1,planar,194,2.385221,-0.154395,-1.743930,1.254417,-0.767521
31,1,6,3,planar,75,2.687235,-0.110438,-1.671703,1.848062,-0.942967
32,1,-5,3,planar,145,2.747739,0.286596,-1.946536,2.061928,-0.974130
33,5,-2,0,planar,312,2.517412,0.146842,-1.875597,1.871848,-1.083192
34,5,-2,2,corner_like,262,0.196598,-0.178714,-0.323015,0.837379,-1.142510
35,4,-6,-1,corner_like,122,-2.164786,0.161589,0.963531,0.153788,-1.193454
36,4,9,3,linear,25,1.106877,-0.182667,-0.385208,1.792081,-1.253079
37,3,4,3,planar,121,1.968160,-0.309340,-1.679182,1.334079,-1.354441
38,-4,5,-2,linear,54,1.520550,-0.534289,-0.590620,1.797414,-1.401773
39,1,7,3,planar,44,2.346416,-0.156111,-1.496071,2.131450,-1.437216
40,3,-4,3,corner_like,89,-2.191902,0.533800,0.736697,0.520436,-1.441841
41,3,5,3,planar,47,0.670281,0.599846,-1.437860,1.296630,-1.464363
42,-6,-5,-2,linear,33,0.918487,-0.164553,-0.446781,1.798623,-1.491470
43,5,0,0,planar,308,2.262725,-0.077042,-1.775794,1.927658,-1.517769
44,-2,-9,3,planar,55,2.072947,-0.397725,-1.684822,1.573888,-1.583488
45,5,-7,-1,planar,140,2.830461,0.380374,-2.059879,2.748123,-1.597166
46,-2,9,6,planar,47,1.968133,-0.195027,-1.706387,1.728932,-1.662213
47,3,2,3,planar,138,-1.185070,1.893411,-1.166906,1.385749,-1.844315
48,3,3,3,planar,113,1.333037,-0.214118,-1.594180,1.375029,-1.850290
49,5,-5,1,planar,167,2.031017,-0.386732,-1.742038,1.788224,-1.885978
50,-4,9,6,planar,30,1.912370,-0.517941,-1.488221,1.885894,-1.979685
51,5,-6,-1,planar,179,2.670266,-0.094323,-2.120886,2.490546,-2.035489
52,5,-9,1,planar,40,0.706628,0.165454,-1.238958,1.690537,-2.057414
53,1,-4,3,planar,260,2.421450,-0.011800,-2.012518,2.459571,-2.062440
54,-3,-7,6,planar,42,1.956606,-0.346294,-1.635236,2.038560,-2.063484
55,5,-14,0,planar,21,1.661990,0.178849,-1.673513,2.238448,-2.071122
56,5,2,1,planar,327,2.798840,-0.019431,-2.089451,2.769302,-2.079344
57,-1,9,6,planar,61,2.164203,-0.143636,-1.977380,2.243009,-2.199822
58,2,-11,3,planar,35,1.709205,-0.323162,-1.423877,2.224344,-2.262179
59,5,9,-1,planar,77,1.946763,-0.400153,-1.839340,2.006743,-2.299472
60,5,-5,0,planar,164,2.315172,0.011951,-2.046644,2.611324,-2.330845
61,5,-8,1,linear,29,-0.442449,0.314095,-0.495424,1.762556,-2.386334
62,3,-5,3,planar,82,1.366751,-0.434631,-1.541973,1.783666,-2.393519
63,-5,-5,-2,planar,67,1.699204,0.044912,-1.903569,2.247805,-2.407258
64,4,12,0,linear,36,-0.469869,0.103253,-0.493253,1.574288,-2.434157
65,-1,-7,3,linear,75,-0.930303,0.189358,-0.353944,1.497492,-2.592382
66,1,4,3,planar,182,1.253034,-0.324622,-1.786685,1.774629,-2.632902
67,1,-11,3,planar,46,1.609738,-0.456684,-1.594344,2.215343,-2.656634
68,5,3,-1,planar,263,2.448953,-0.023799,-2.249675,2.837190,-2.661710
69,5,-5,-1,planar,141,1.186645,-0.212032,-1.787553,1.850293,-2.663233
70,1,5,3,planar,93,2.189792,-0.095934,-2.112504,2.735640,-2.754288
71,2,8,3,planar,20,2.144690,-0.060400,-2.119192,2.772159,-2.807061
72,3,1,3,planar,217,0.814862,-0.164504,-1.786767,1.698165,-2.834574
73,4,-11,3,planar,31,1.422397,-0.463160,-1.669435,2.135627,-2.845825
74,5,5,1,planar,146,2.754889,0.201815,-2.427907,3.430095,-2.901298
75,-5,-6,-2,linear,35,-0.616370,-0.174301,-0.326075,1.799955,-2.916701
76,3,0,3,planar,106,1.580836,-0.613954,-1.808549,2.083129,-2.924796
77,-4,3,-2,planar,136,1.876783,0.438094,-2.197333,3.057193,-2.939650
78,5,5,-1,planar,156,2.224335,-0.056375,-2.144018,2.974049,-2.950107
79,3,-2,3,planar,200,0.605513,-0.217788,-1.484357,1.870926,-2.967557
80,-2,-11,3,planar,45,-0.469550,0.009419,-1.215880,1.338880,-3.014891
81,1,3,3,planar,239,2.597182,0.227489,-2.419795,3.456867,-3.051990
82,2,4,3,planar,160,2.325464,0.016230,-2.249845,3.172162,-3.080314
83,-3,5,-2,planar,105,1.064146,0.101539,-1.972245,2.286458,-3.093018
84,5,-7,0,planar,128,2.373197,0.002761,-2.209635,3.265246,-3.098923
85,5,1,0,planar,395,2.411335,0.090776,-2.429121,3.187547,-3.114558
86,3,-1,3,planar,66,0.519763,0.122554,-1.634685,2.216763,-3.209131
87,5,8,1,planar,54,2.573304,-0.249804,-2.240516,3.305057,-3.222074
88,5,5,2,planar,27,0.326411,0.024217,-1.584214,1.990280,-3.223867
89,-5,-7,6,planar,20,1.040262,-0.585386,-1.540444,2.154911,-3.240480
90,-3,-7,3,planar,75,0.987458,-0.116208,-1.920446,2.244742,-3.293938
91,5,9,0,planar,74,0.174305,-0.133087,-1.541785,1.897980,-3.398548
92,-4,4,-2,planar,106,1.696060,0.375578,-2.252897,3.249171,-3.430431
93,3,9,3,linear,37,-1.932718,0.654268,-0.449071,1.758394,-3.485915
94,5,10,0,planar,29,0.754372,0.475275,-2.042468,2.718365,-3.531186
95,5,4,0,planar,186,-0.046810,0.075570,-1.850127,1.760642,-3.582009
96,5,1,-1,planar,391,2.201525,0.001957,-2.490204,3.303415,-3.590138
97,-2,-7,5,planar,22,-0.467713,0.869345,-1.885029,2.110440,-3.593838
98,5,-7,2,linear,57,-2.361466,0.634044,-0.396723,1.489043,-3.613188
99,5,9,2,linear,33,-1.802664,0.551412,-0.626550,1.754366,-3.632167
100,5,6,-1,planar,123,1.824357,-0.211239,-2.181931,3.085695,-3.654508
101,1,9,6,linear,38,-2.491197,0.592058,-0.364418,1.413782,-3.677339
102,5,0,1,planar,190,-0.699856,0.152348,-1.233746,1.983540,-3.764794
103,4,10,-1,planar,67,0.944013,-0.162342,-2.052409,2.505651,-3.776389
104,-5,-4,-2,planar,95,1.951354,0.538238,-2.529231,3.747956,-3.787595
105,5,-7,1,planar,134,1.069148,-0.382228,-2.001698,2.520039,-3.834816
106,5,0,2,planar,268,0.581682,0.207518,-2.017498,2.607997,-3.836295
107,5,-6,1,planar,143,2.265645,-0.387366,-2.390184,3.327116,-3.839020
108,-1,9,5,planar,45,-0.850701,0.666456,-1.576882,2.118099,-3.879226
109,5,-6,0,planar,151,1.878777,0.154423,-2.351358,3.603507,-3.921666
110,2,-4,3,planar,110,0.440967,-0.141534,-1.966530,2.300045,-3.967143
111,0,9,6,planar,57,1.585193,-0.248839,-2.218799,3.106198,-3.988643
112,1,8,3,planar,35,0.979936,-0.447333,-2.047675,2.565458,-4.080531
113,5,-3,0,planar,369,0.600380,-0.302716,-2.057420,2.377884,-4.137639
114,3,6,3,planar,45,0.792383,-0.283201,-2.043797,2.725402,-4.260017
115,5,2,2,planar,202,1.107297,-0.038238,-2.219086,3.150918,-4.300946
116,5,6,0,planar,94,0.996785,-0.346949,-2.104803,2.849969,-4.304935
117,2,9,3,planar,61,-1.121314,0.141603,-1.585045,1.857118,-4.421873
118,0,-13,3,linear,34,-3.304462,0.937274,-0.428846,1.711588,-4.507622
119,5,3,2,planar,156,0.329937,-0.187944,-2.067347,2.586589,-4.511944
120,4,11,0,planar,43,-0.333102,0.838311,-2.138862,2.900375,-4.534029
121,-5,4,-2,linear,61,-2.285559,0.111856,-0.661288,1.799012,-4.634003
122,4,4,3,planar,53,-4.036418,2.665756,-1.378125,1.905047,-4.653834
123,-4,-3,-2,planar,166,-0.353800,-0.195725,-1.918830,2.248561,-4.716916
124,1,-13,3,linear,26,-4.335755,1.635260,-0.275306,1.773013,-4.748814
125,-6,-4,-2,planar,54,-0.140247,-0.207658,-2.015191,2.439087,-4.802183
126,-5,-3,-2,linear,48,-2.916593,0.457895,-0.618205,1.797413,-4.874317
127,-2,-7,6,planar,28,-0.597200,0.159544,-2.026381,2.411290,-4.875328
128,0,-7,6,planar,44,-1.454179,0.172521,-1.684835,2.095535,-5.062028
129,5,6,2,planar,26,-1.103013,0.363426,-1.980225,2.417051,-5.136863
130,4,6,3,linear,24,-6.906959,3.783295,-0.391147,1.775569,-5.290380
131,-3,2,-2,planar,282,-1.190724,-0.051914,-1.833119,2.248918,-5.324675
132,5,5,0,planar,138,0.383096,-0.279661,-2.234652,3.230014,-5.361230
133,-3,4,-2,planar,107,0.270846,-0.213901,-2.243662,3.216475,-5.403192
134,-3,9,5,corner_like,33,-6.593304,1.646846,0.083805,0.555557,-5.418210
135,2,2,3,planar,124,-2.416057,0.724922,-1.533457,2.203632,-5.428223
136,5,10,1,planar,28,-1.085116,0.129373,-2.019333,2.466100,-5.441176
137,3,-13,3,linear,24,-3.715494,0.295126,-0.254085,1.799987,-5.474441
138,1,-1,-1,planar,1788,-3.194919,0.560763,-1.169261,1.767647,-5.571065
139,5,1,2,planar,274,0.103479,-0.029526,-2.343128,3.340725,-5.609900
140,5,-3,2,planar,160,-1.974578,0.777585,-2.002392,2.444064,-5.643450
141,2,5,3,planar,85,0.077404,-0.073401,-2.287906,3.413511,-5.697413
142,3,-10,-1,planar,63,-3.156721,0.392927,-1.566788,1.375924,-5.706506
143,-3,3,-2,planar,204,-0.322031,-0.260924,-2.176003,2.983651,-5.742609
144,5,-1,2,planar,314,-0.751566,0.709084,-2.367948,3.344241,-5.754670
145,-5,3,-2,planar,65,-2.380221,0.281531,-1.450802,2.245905,-5.795396
146,-4,-7,3,planar,64,-0.757723,0.059608,-2.147678,3.014243,-5.860036
147,1,-6,3,planar,124,0.227920,0.000600,-2.587254,3.503944,-5.862678
148,10,-2,0,planar,113,0.105438,-0.094523,-2.379164,3.572046,-5.940295
149,5,8,0,planar,57,-1.456542,0.479068,-2.150356,2.928533,-6.056363
150,5,-10,1,planar,29,-2.827347,0.545245,-1.537437,2.247698,-6.067238
151,5,2,0,planar,311,-0.247342,0.013640,-2.429143,3.428742,-6.091586
152,0,-11,3,planar,51,-2.870627,0.574538,-1.608665,2.235215,-6.139969
153,3,-6,3,planar,28,-1.453439,0.538127,-2.199276,3.185492,-6.300080
154,0,9,5,planar,43,-3.937055,1.028305,-1.327387,2.107462,-6.343598
155,-5,5,-2,planar,36,-2.794976,0.373944,-1.694386,2.247495,-6.362913
156,5,9,1,planar,53,-2.550418,0.360805,-1.883924,2.296303,-6.369840
157,5,4,2,planar,54,-3.604203,0.742321,-1.827681,1.896447,-6.586011
158,5,-2,3,planar,181,-4.481018,0.485884,-1.536361,1.084940,-6.616434
159,5,3,0,planar,263,-1.459477,0.266546,-2.269100,3.264111,-6.726142
160,-1,-11,3,planar,57,-3.692918,0.809477,-1.671188,2.232271,-6.786900
161,5,11,1,planar,32,-0.948090,-0.037679,-2.359070,3.624990,-6.969829
162,2,3,3,planar,121,-1.719683,0.388849,-2.318235,3.475993,-7.125063
163,5,-4,2,planar,119,-2.863784,1.079447,-2.239512,3.206383,-7.230231
164,2,-13,3,linear,24,-6.069806,0.891375,-0.256844,1.799994,-7.235269
165,2,12,3,planar,40,-5.374009,1.593305,-1.763843,1.928292,-7.472839
166,-4,-4,-2,planar,136,-1.183129,-0.038600,-2.547216,3.748401,-7.517347
167,5,-4,1,planar,238,-3.701320,0.437456,-1.951303,2.304857,-7.520023
168,4,-11,1,corner_like,24,-10.246626,1.947756,0.999742,0.346626,-7.645753
169,-2,-7,3,linear,68,-7.665520,1.972840,-0.372330,1.663308,-7.728318
170,1,12,-2,linear,35,-6.813397,1.147158,-0.538833,1.759057,-7.964129
171,-5,7,-2,linear,24,-6.422220,0.477932,-0.336654,1.799983,-8.080925
172,-4,-5,-2,planar,84,-3.391275,0.122043,-2.145400,2.880260,-8.294892
173,5,7,-1,planar,89,-3.673871,0.781284,-2.243729,3.204642,-8.340958
174,4,-2,3,linear,42,-8.659828,2.298585,-0.454910,1.733787,-8.549941
175,5,-7,3,corner_like,35,-10.265635,1.146461,0.839420,0.341989,-8.621743
176,-4,-6,-2,planar,74,-5.005467,0.486553,-1.892843,2.248154,-8.659912
177,5,-6,2,planar,30,-6.066939,1.403503,-1.908176,2.114614,-8.686227
178,-4,-7,-2,linear,33,-7.250948,0.834286,-0.571706,1.798982,-8.787350
179,-4,-9,3,planar,22,-7.773571,1.972622,-1.324993,1.855628,-8.981570
180,2,-3,3,planar,95,-6.853176,1.444236,-1.437947,2.189571,-9.036458
181,-3,-8,3,linear,22,-8.989255,1.835268,-0.394708,1.790055,-9.338750
182,5,3,3,planar,116,-6.645592,0.745052,-1.645770,1.806694,-9.353003
183,-4,7,-2,linear,23,-9.275132,1.910621,-0.322613,1.799980,-9.487104
184,5,8,-1,planar,51,-6.744485,1.593674,-2.056037,2.634939,-9.841788
185,-2,6,-2,planar,55,-4.714114,0.443367,-2.280633,3.347368,-9.898748
186,5,1,3,planar,224,-7.333016,1.041103,-1.737607,1.920557,-9.950078
187,5,2,3,planar,141,-6.973953,1.005430,-1.928150,2.276346,-10.173019
188,-3,6,-2,linear,41,-9.832883,1.371789,-0.376646,1.799970,-10.637710
189,5,7,0,planar,77,-5.196074,0.636357,-2.511986,3.741210,-10.812912
190,0,9,3,planar,71,-7.699942,1.095705,-1.951954,2.324529,-10.880720
191,4,-10,0,planar,28,-9.038663,1.733602,-1.604953,2.228004,-11.138018
192,4,-11,2,planar,20,-8.635697,1.263225,-1.590114,2.244043,-11.206628
193,3,12,-1,planar,73,-5.966869,0.769527,-2.410504,3.739492,-11.347337
194,5,-5,2,planar,40,-10.271805,1.640760,-1.346873,2.053482,-12.031400
195,1,9,3,planar,79,-8.418367,1.248578,-2.091282,2.823721,-12.084792
196,4,12,-1,planar,40,-10.070829,1.533053,-1.638710,2.231013,-12.407499
197,-3,-2,-2,linear,198,-11.489987,1.559681,-0.681204,1.798614,-12.410124
198,-5,-7,-2,linear,24,-12.163690,1.640882,-0.320141,1.799964,-12.642912
199,-2,5,-2,planar,99,-7.184862,0.740603,-2.501093,3.748857,-12.694209
