vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty
-19,-8,1,-22.200000,-9.000000,1.800000,21,planar,0.113256,0.070441,0.000183,0.378041,0.620342,0.001617,0.998383,0.011346,2.030486,31.870645,0.404243,-29.840159,0.167988,2.936476,0.984754,2.768488
-19,-7,0,-22.200000,-7.800000,0.600000,22,planar,0.128774,0.073714,0.000319,0.427569,0.569951,0.002479,0.997521,0.014472,2.119972,20.796858,0.420652,-18.676887,0.359057,2.385505,1.352914,2.026448
-19,-6,0,-22.200000,-6.600000,0.600000,22,planar,0.148821,0.067374,0.000225,0.547280,0.451211,0.001509,0.998491,0.013107,2.063814,20.648229,0.435308,-18.584415,0.274074,2.213832,1.143755,1.939758
-19,-6,1,-22.200000,-6.600000,1.800000,21,planar,0.131870,0.057057,0.000284,0.567325,0.430518,0.002157,0.997843,0.012887,2.092114,26.903168,0.402124,-24.811054,0.216779,2.732690,0.989012,2.515911
-19,-5,0,-22.200000,-5.400000,0.600000,21,planar,0.119943,0.068060,0.000114,0.432565,0.566488,0.000948,0.999052,0.009753,1.980297,21.392456,0.404682,-19.412159,0.200247,2.115067,1.133425,1.914820
-11,-6,7,-12.600000,-6.600000,9.000000,22,planar,0.154947,0.053874,0.000692,0.652309,0.343225,0.004466,0.995534,0.017943,2.275963,172.276669,0.392528,-170.000706,0.647466,9.870018,1.485522,9.222553
-11,-5,7,-12.600000,-5.400000,9.000000,20,planar,0.164406,0.101801,0.000295,0.380796,0.617410,0.001794,0.998206,0.017026,2.101378,162.783005,0.470455,-160.681627,0.311318,8.224895,1.077492,7.913577
-10,-6,7,-11.400000,-6.600000,9.000000,22,planar,0.136373,0.081767,0.002289,0.400415,0.582801,0.016784,0.983216,0.029443,2.554924,65.185897,0.436853,-62.630974,0.327420,4.974662,1.259750,4.647241
-10,3,7,-11.400000,4.200000,9.000000,29,planar,0.134394,0.042143,0.001053,0.686422,0.305747,0.007831,0.992169,0.018132,2.396632,145.585514,0.374196,-143.188882,0.273782,9.022823,1.073814,8.749041
-9,-6,7,-10.200000,-6.600000,9.000000,31,planar,0.162810,0.081167,0.002229,0.501465,0.484843,0.013692,0.986308,0.030884,2.585856,76.045498,0.442917,-73.459642,0.427647,4.480873,1.175368,4.053226
