run_id,output_dir,is_baseline,voxel_size,min_points_per_voxel,shape_exponent,axis_scale_quantile,ranking_mode,analyzed_voxels,interesting_top_k,average_gaussian_center_advantage,average_shell_center_penalty,average_morphology_filter_penalty,corner_minus_planar_topk,label_corner_like_count,label_corner_like_fraction,label_linear_count,label_linear_fraction,label_planar_count,label_planar_fraction,label_volumetric_count,label_volumetric_fraction,topk_corner_like_count,topk_corner_like_fraction,topk_linear_count,topk_linear_fraction,topk_planar_count,topk_planar_fraction,topk_volumetric_count,topk_volumetric_fraction
vs_0p8__mp_15__se_1__aq_0p85__mode_score_only,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1__aq_0p85__mode_score_only,False,0.8,15,1.0,0.85,score_only,964,200,-53.879015,3.881274,0.0,-109,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,28,0.14,34,0.17,137,0.685,1,0.005
vs_0p8__mp_15__se_1__aq_0p85__mode_corner_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1__aq_0p85__mode_corner_priority,False,0.8,15,1.0,0.85,corner_priority,964,200,-53.879015,3.881274,1.16575,-96,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,30,0.15,43,0.215,126,0.63,1,0.005
vs_0p8__mp_15__se_1__aq_0p85__mode_nonplanar_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1__aq_0p85__mode_nonplanar_priority,False,0.8,15,1.0,0.85,nonplanar_priority,964,200,-53.879015,3.881274,2.3315,-95,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,30,0.15,44,0.22,125,0.625,1,0.005
vs_0p8__mp_15__se_1__aq_0p95__mode_score_only,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1__aq_0p95__mode_score_only,False,0.8,15,1.0,0.95,score_only,964,200,-53.879015,3.748929,0.0,-111,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,27,0.135,34,0.17,138,0.69,1,0.005
vs_0p8__mp_15__se_1__aq_0p95__mode_corner_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1__aq_0p95__mode_corner_priority,False,0.8,15,1.0,0.95,corner_priority,964,200,-53.879015,3.748929,1.16575,-96,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,30,0.15,43,0.215,126,0.63,1,0.005
vs_0p8__mp_15__se_1__aq_0p95__mode_nonplanar_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1__aq_0p95__mode_nonplanar_priority,False,0.8,15,1.0,0.95,nonplanar_priority,964,200,-53.879015,3.748929,2.3315,-95,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,30,0.15,44,0.22,125,0.625,1,0.005
vs_0p8__mp_15__se_1p4__aq_0p85__mode_score_only,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1p4__aq_0p85__mode_score_only,False,0.8,15,1.4,0.85,score_only,964,200,-53.879015,3.505429,0.0,-110,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,28,0.14,33,0.165,138,0.69,1,0.005
vs_0p8__mp_15__se_1p4__aq_0p85__mode_corner_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1p4__aq_0p85__mode_corner_priority,False,0.8,15,1.4,0.85,corner_priority,964,200,-53.879015,3.505429,1.16575,-98,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,30,0.15,41,0.205,128,0.64,1,0.005
vs_0p8__mp_15__se_1p4__aq_0p85__mode_nonplanar_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1p4__aq_0p85__mode_nonplanar_priority,False,0.8,15,1.4,0.85,nonplanar_priority,964,200,-53.879015,3.505429,2.3315,-95,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,30,0.15,44,0.22,125,0.625,1,0.005
vs_0p8__mp_15__se_1p4__aq_0p95__mode_score_only,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1p4__aq_0p95__mode_score_only,False,0.8,15,1.4,0.95,score_only,964,200,-53.879015,3.379627,0.0,-114,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,27,0.135,31,0.155,141,0.705,1,0.005
vs_0p8__mp_15__se_1p4__aq_0p95__mode_corner_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1p4__aq_0p95__mode_corner_priority,False,0.8,15,1.4,0.95,corner_priority,964,200,-53.879015,3.379627,1.16575,-99,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,30,0.15,40,0.2,129,0.645,1,0.005
vs_0p8__mp_15__se_1p4__aq_0p95__mode_nonplanar_priority,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_15__se_1p4__aq_0p95__mode_nonplanar_priority,False,0.8,15,1.4,0.95,nonplanar_priority,964,200,-53.879015,3.379627,2.3315,-95,33,0.03423236514522822,341,0.3537344398340249,589,0.6109958506224067,1,0.001037344398340249,30,0.15,44,0.22,125,0.625,1,0.005
vs_0p8__mp_20__se_1__aq_0p85__mode_score_only,/home/chani/personal/CVRL_SLAM_Docker/GES-Voxel-Docker/results/parameter_sweep/runs/vs_0p8__mp_20__se_1__aq_0p85__mode_score_only,False,0.8,20,1.0,0.85,score_only,814,200,-52.965854,3.713327,0.0,-111,32,0.03931203931203931,247,0.3034398034398034,534,0.6560196560196561,1,0.0012285012285012285,29,0.145,30,0.15,140,0.7,1,0.005
